年份,省市,类型,科类,专业,录取人数,最低分,平均分,最高分,备注
2023,安徽,普通类,理科,自动化,2,486,487.00,488,
2023,安徽,普通类,理科,物流管理与工程类,5,472,476.00,479,
2023,安徽,普通类,理科,无人驾驶航空器系统工程,2,481,482.00,483,
2023,安徽,普通类,理科,外国语言文学类,2,479,479.50,480,
2023,安徽,普通类,理科,土木类,8,472,477.13,484,
2023,安徽,普通类,理科,图书情报与档案管理类,2,472,476.00,480,
2023,安徽,普通类,理科,数学与应用数学,3,481,481.33,482,
2023,安徽,普通类,理科,能源与动力工程,2,478,479.50,481,
2023,安徽,普通类,理科,经济与贸易类,3,471,473.33,476,
2023,安徽,普通类,理科,经济学类,2,472,477.50,483,
2023,安徽,普通类,理科,金融学类,4,480,481.25,483,
2023,安徽,普通类,理科,交通运输（空管与签派）,2,480,480.50,481,
2023,安徽,普通类,理科,计算机类,5,483,484.80,489,
2023,安徽,普通类,理科,机械类,6,480,481.33,485,
2023,安徽,普通类,理科,环境工程,2,477,478.50,480,
2023,安徽,普通类,理科,航空航天工程,2,487,490.50,494,
2023,安徽,普通类,理科,广告学,3,477,478.33,479,
2023,安徽,普通类,理科,工业工程类,4,477,479.50,482,
2023,安徽,普通类,理科,工商管理类,9,473,478.67,488,
2023,安徽,普通类,理科,工程管理,3,474,474.67,476,
2023,安徽,普通类,理科,飞行器质量与可靠性,2,480,482.50,485,
2023,安徽,普通类,理科,飞行器适航技术,2,480,482.50,485,
2023,安徽,普通类,理科,法语,3,471,475.00,481,
2023,安徽,普通类,理科,法学,2,479,480.50,482,
2023,安徽,普通类,理科,电子信息类,4,482,485.50,495,
2023,安徽,普通类,理科,电气工程及其自动化,2,483,485.50,488,
2023,安徽,普通类,理科,大数据管理与应用,2,480,480.00,480,
2023,安徽,普通类,理科,城乡规划,2,471,474.00,477,
2023,安徽,普通类,理科,材料类,8,473,477.50,482,
2023,安徽,普通类,理科,安全工程,3,472,476.00,478,
