年份,省市,类型,科类,专业,录取人数,最低分,平均分,最高分,备注
2021,重庆,普通类,历史类,中国语言文学类,2,528,528.50,529,
2021,重庆,普通类,历史类,外国语言文学类,2,523,524.50,526,
2021,重庆,普通类,历史类,经济与贸易类,3,523,525.33,528,
2021,重庆,普通类,历史类,工商管理类,2,531,531.50,532,
2021,重庆,普通类,物理类,物流管理与工程类,2,507,511.00,515,
2021,重庆,普通类,物理类,土木类,2,525,526.00,527,
2021,重庆,普通类,物理类,数学与应用数学,2,509,514.50,520,
2021,重庆,普通类,物理类,经济与贸易类,2,508,508.50,509,
2021,重庆,普通类,物理类,金融学类,2,516,518.00,520,
2021,重庆,普通类,物理类,计算机类,3,521,521.33,522,
2021,重庆,普通类,物理类,机械类,3,511,513.33,516,
2021,重庆,普通类,物理类,环境工程,2,506,506.50,507,
2021,重庆,普通类,物理类,航空航天类,3,517,518.33,521,
2021,重庆,普通类,物理类,工业工程类,2,503,504.00,505,
2021,重庆,普通类,物理类,工商管理类,4,515,520.50,535,
2021,重庆,普通类,物理类,工程管理,2,509,510.50,512,
2021,重庆,普通类,物理类,电子信息类,2,514,514.00,514,
2021,重庆,普通类,物理类,电气工程及其自动化,2,513,515.00,517,
2021,重庆,普通类,物理类,材料类,3,503,505.00,509,
2022,重庆,普通类,历史类,中国语言文学类,4,490,491.75,494,
2022,重庆,普通类,历史类,外国语言文学类,2,488,491.00,494,
2022,重庆,普通类,历史类,经济与贸易类,2,484,485.00,486,
2022,重庆,普通类,历史类,工商管理类,3,494,504.33,521,
2022,重庆,普通类,物理类,物流管理与工程类,2,471,471.50,472,
2022,重庆,普通类,物理类,土木类,2,484,485.00,486,
2022,重庆,普通类,物理类,数学与应用数学,2,474,476.00,478,
2022,重庆,普通类,物理类,人工智能,2,483,486.00,489,
2022,重庆,普通类,物理类,经济与贸易类,2,470,471.50,473,
2022,重庆,普通类,物理类,金融学类,4,473,478.50,484,
2022,重庆,普通类,物理类,计算机类,2,489,490.50,492,
2022,重庆,普通类,物理类,机械类,3,473,475.00,477,
2022,重庆,普通类,物理类,工业工程类,2,468,471.00,474,
2022,重庆,普通类,物理类,工商管理类,6,476,482.83,500,
2022,重庆,普通类,物理类,飞行器动力工程,2,480,481.50,483,
2022,重庆,普通类,物理类,电子信息类,3,480,481.67,483,
2022,重庆,普通类,物理类,电气工程及其自动化,2,478,483.00,488,
2022,重庆,普通类,物理类,材料类,2,477,478.00,479,
2023,重庆,普通类,历史类,中国语言文学类,3,482,485.00,489,
2023,重庆,普通类,历史类,外国语言文学类,2,471,473.50,476,
2023,重庆,普通类,历史类,经济与贸易类,2,470,470.50,471,
2023,重庆,普通类,历史类,工商管理类,3,480,481.00,482,
2023,重庆,普通类,物理类,物流管理与工程类,2,466,468.50,471,
2023,重庆,普通类,物理类,土木类,3,465,469.00,472,
2023,重庆,普通类,物理类,数学与应用数学,2,464,466.00,468,
2023,重庆,普通类,物理类,人工智能,2,483,483.50,484,
2023,重庆,普通类,物理类,经济与贸易类,2,455,457.50,460,
2023,重庆,普通类,物理类,金融学类,2,470,472.50,475,
2023,重庆,普通类,物理类,计算机类,2,486,487.50,489,
2023,重庆,普通类,物理类,机械类,2,477,478.50,480,
2023,重庆,普通类,物理类,工业工程类,2,463,463.50,464,
2023,重庆,普通类,物理类,工商管理类,6,467,471.33,479,
2023,重庆,普通类,物理类,飞行器设计与工程,2,476,476.50,477,
2023,重庆,普通类,物理类,飞行器动力工程,2,479,481.00,483,
2023,重庆,普通类,物理类,电子信息类,2,484,484.00,484,
2023,重庆,普通类,物理类,电气工程及其自动化,2,485,489.50,494,
2023,重庆,普通类,物理类,材料类,2,463,463.50,464,
2024,重庆,普通类,历史类,中国语言文学类,3,507,507.33,508,
2024,重庆,普通类,历史类,外国语言文学类,2,492,493.50,495,
2024,重庆,普通类,历史类,经济与贸易类,2,492,497.50,503,
2024,重庆,普通类,物理类,物流管理与工程类,2,503,504.50,506,
2024,重庆,普通类,物理类,土木类,2,494,496.00,498,
2024,重庆,普通类,物理类,数学与应用数学,2,497,497.00,497,
2024,重庆,普通类,物理类,人工智能,2,522,523.00,524,
2024,重庆,普通类,物理类,经济与贸易类,2,498,500.00,502,
2024,重庆,普通类,物理类,金融学类,2,500,502.00,504,
2024,重庆,普通类,物理类,计算机类,2,526,526.00,526,
2024,重庆,普通类,物理类,机械设计制造及其自动化,2,518,520.00,522,
2024,重庆,普通类,物理类,工业设计,2,503,507.50,512,
2024,重庆,普通类,物理类,工业工程类,2,508,509.00,510,
2024,重庆,普通类,物理类,工商管理类,6,504,506.67,514,
2024,重庆,普通类,物理类,飞行器设计与工程,2,521,526.50,532,
2024,重庆,普通类,物理类,飞行器动力工程,2,540,541.00,542,
2024,重庆,普通类,物理类,电子信息类,2,523,525.00,527,
2024,重庆,普通类,物理类,电气工程及其自动化,2,530,532.00,534,
2024,重庆,普通类,物理类,车辆工程,2,518,518.00,518,
2024,重庆,普通类,物理类,材料类,2,506,508.00,510,
2025,重庆,普通类,文 / 历史,中国语言文学类,3,513,516.00,521,
2025,重庆,普通类,文 / 历史,外国语言文学类,2,507,507.00,507,
2025,重庆,普通类,文 / 历史,国际经济与贸易,2,508,508.00,508,
2025,重庆,普通类,理 / 物理,土木工程,2,489,493.50,498,
2025,重庆,普通类,理 / 物理,数学与应用数学,2,508,509.50,511,
2025,重庆,普通类,理 / 物理,市场营销,2,487,492.50,498,
