年份,省市,类型,科类,专业,录取人数,最低分,平均分,最高分,备注
2021,福建,普通类,物理类,行政管理,2,497,497.50,498,
2021,福建,普通类,物理类,信息管理与信息系统,2,503,503.50,504,
2021,福建,普通类,物理类,物流管理与工程类,6,498,499.50,501,
2021,福建,普通类,物理类,外国语言文学类,2,499,503.00,507,
2021,福建,普通类,物理类,土木类,5,500,502.40,509,
2021,福建,普通类,物理类,数学与应用数学,2,496,496.50,497,
2021,福建,普通类,物理类,经济与贸易类,3,499,506.67,522,
2021,福建,普通类,物理类,经济学类,2,508,508.00,508,
2021,福建,普通类,物理类,金融学类,5,499,506.00,514,
2021,福建,普通类,物理类,交通运输 (空管与签派),2,496,502.00,508,
2021,福建,普通类,物理类,计算机类,8,506,509.13,514,
2021,福建,普通类,物理类,机械类,8,497,498.13,501,
2021,福建,普通类,物理类,环境工程,2,497,497.00,497,
2021,福建,普通类,物理类,航空航天类,7,498,501.43,511,
2021,福建,普通类,物理类,工业工程类,3,497,504.00,517,
2021,福建,普通类,物理类,工商管理类,6,497,502.50,512,
2021,福建,普通类,物理类,工程管理,2,499,501.50,504,
2021,福建,普通类,物理类,法学,2,513,519.50,526,
2021,福建,普通类,物理类,电子信息类,4,506,507.75,511,
2021,福建,普通类,物理类,电气工程及其自动化,2,512,513.00,514,
2021,福建,普通类,物理类,材料类,6,498,501.00,505,
2021,福建,普通类,物理类,安全工程,2,503,504.50,506,
2021,福建,普通类,历史类,中国语言文学类,2,517,518.00,519,
2021,福建,普通类,历史类,行政管理,2,509,513.00,517,
2021,福建,普通类,历史类,外国语言文学类,2,510,515.50,521,
2021,福建,普通类,历史类,图书情报与档案管理类,2,509,511.50,514,
2021,福建,普通类,历史类,经济与贸易类,3,509,510.00,512,
2021,福建,普通类,历史类,经济学类,2,513,514.50,516,
2021,福建,普通类,历史类,工商管理类,2,517,526.00,535,
2021,福建,普通类,历史类,法学,2,514,522.00,530,
2022,福建,普通类,物理类,信息管理与信息系统,2,499,500.00,501,
2022,福建,普通类,物理类,物流管理与工程类,4,491,492.50,496,
2022,福建,普通类,物理类,外国语言文学类,3,500,501.67,503,
2022,福建,普通类,物理类,土木类,5,489,491.20,493,
2022,福建,普通类,物理类,数学与应用数学,3,490,490.00,490,
2022,福建,普通类,物理类,人工智能,2,504,507.00,510,
2022,福建,普通类,物理类,经济与贸易类,3,492,497.33,501,
2022,福建,普通类,物理类,经济学类,3,495,499.00,504,
2022,福建,普通类,物理类,金融学类,4,494,499.00,504,
2022,福建,普通类,物理类,计算机类,5,505,509.60,516,
2022,福建,普通类,物理类,机械类,5,491,494.60,501,
2022,福建,普通类,物理类,工业工程类,2,495,495.00,495,
2022,福建,普通类,物理类,工商管理类,8,498,501.50,512,
2022,福建,普通类,物理类,飞行器适航技术,2,492,492.00,492,
2022,福建,普通类,物理类,飞行器动力工程,2,495,499.00,503,
2022,福建,普通类,物理类,法学,2,516,517.50,519,
2022,福建,普通类,物理类,电子信息类,4,502,503.75,507,
2022,福建,普通类,物理类,材料类,5,489,494.20,503,
2022,福建,普通类,物理类,安全工程,3,489,490.33,492,
2022,福建,普通类,历史类,中国语言文学类,4,511,515.00,518,
2022,福建,普通类,历史类,外国语言文学类,3,508,509.00,511,
2022,福建,普通类,历史类,图书情报与档案管理类,2,509,510.50,512,
