年份,省市,类型,科类,专业,录取人数,最低分,平均分,最高分,备注
2021,广东,普通类,物理类,物流管理与工程类,2,504,504.00,504,
2021,广东,普通类,物理类,经济学类,2,505,506.50,508,
2021,广东,普通类,物理类,计算机类,4,508,510.00,512,
2021,广东,普通类,物理类,机械类,2,507,508.00,509,
2021,广东,普通类,物理类,航空航天类,2,517,517.50,518,
2021,广东,普通类,物理类,工业工程类,2,505,506.00,507,
2021,广东,普通类,物理类,电子信息类,3,507,511.67,515,
2021,广东,普通类,历史类,中国语言文学类,2,508,512.00,516,
2021,广东,普通类,历史类,行政管理,2,506,506.50,507,
2021,广东,普通类,历史类,外国语言文学类,2,506,509.50,513,
2021,广东,普通类,历史类,工商管理类,2,513,515.50,518,
2021,广东,艺术类,不分首选科目,航空服务艺术与管理,6,245.48,258.37,266.44,
2022,广东,普通类,物理类,物流管理与工程类,2,513,513.00,513,
2022,广东,普通类,物理类,人工智能,2,517,517.00,517,
2022,广东,普通类,物理类,经济学类,2,511,511.50,512,
2022,广东,普通类,物理类,计算机类,2,516,517.00,518,
2022,广东,普通类,物理类,机械类,2,511,511.00,511,
2022,广东,普通类,物理类,工业工程类,2,511,511.00,511,
2022,广东,普通类,物理类,飞行器设计与工程,2,514,514.00,514,
2022,广东,普通类,物理类,电子信息类,2,512,513.50,515,
2022,广东,普通类,历史类,中国语言文学类,3,501,504.00,509,
2022,广东,普通类,历史类,外国语言文学类,3,500,502.00,506,
2022,广东,普通类,历史类,工商管理类,2,502,503.50,505,
2022,广东,艺术类,不分科目,航空服务艺术与管理,5,223.20,243.38,261.72,校考成绩
2023,广东,普通类,物理类,物流管理与工程类,3,513,514.67,518,
2023,广东,普通类,物理类,人工智能,2,515,516.00,517,
2023,广东,普通类,物理类,经济学类,2,512,512.00,512,
2023,广东,普通类,物理类,计算机类,2,517,521.50,526,
2023,广东,普通类,物理类,工业工程类,2,514,518.00,522,
2023,广东,普通类,物理类,飞行器设计与工程,2,519,523.00,527,
2023,广东,普通类,物理类,电子信息类,2,514,514.50,515,
2023,广东,普通类,物理类,大数据管理与应用,2,513,516.50,520,
2023,广东,普通类,历史类,中国语言文学类,3,504,508.00,514,
2023,广东,普通类,历史类,外国语言文学类,3,501,502.67,504,
2023,广东,普通类,历史类,工商管理类,2,501,501.50,502,
2023,广东,艺术类,艺术综合,航空服务艺术与管理,6,251.44,258.13,266.56,校考成绩
2024,广东,普通类,物理类,物流管理与工程类,2,513,515.50,518,
2024,广东,普通类,物理类,人工智能,2,525,525.00,525,
2024,广东,普通类,物理类,经济学类,2,513,514.00,515,
2024,广东,普通类,物理类,计算机类,2,525,525.50,526,
2024,广东,普通类,物理类,工业工程类,2,520,520.50,521,
2024,广东,普通类,物理类,工商管理类,2,515,519.00,523,
2024,广东,普通类,物理类,飞行器设计与工程,2,527,527.50,528,
2024,广东,普通类,物理类,电子信息类,2,529,531.50,534,
2024,广东,普通类,历史类,中国语言文学类,2,504,509.00,514,
2024,广东,普通类,历史类,外国语言文学类,2,502,506.50,511,
2024,广东,艺术类,艺术综合,航空服务艺术与管理,10,489,492.90,497,
2025,广东,普通类,物理类,无人驾驶航空器系统工程,2,541,543.50,546,
2025,广东,普通类,物理类,人力资源管理,1,512,512.00,512,
2025,广东,普通类,物理类,计算机类,2,534,535.50,537,
2025,广东,普通类,物理类,机械设计制造及其自动化,2,536,537.00,538,
2025,广东,普通类,物理类,会计学,2,503,504.00,505,
2025,广东,普通类,物理类,工业工程,3,520,523.00,525,
2025,广东,普通类,物理类,飞行器设计与工程,2,541,541.00,541,
2025,广东,普通类,物理类,电子信息类,2,534,534.50,535,
2025,广东,普通类,物理类,电气工程及其自动化,2,535,535.50,536,
2025,广东,普通类,历史类,中国语言文学类,2,537,541.50,546,
2025,广东,普通类,历史类,外国语言文学类,2,534,536.50,539,
2025,广东,艺术类,艺术综合,航空服务艺术与管理,8,460,485.31,496.25,
