年份,省市,类型,科类,专业,录取人数,最低分,平均分,最高分,备注
2021,甘肃,普通类,文科,行政管理,2,492,492.00,492,
2021,甘肃,普通类,文科,外国语言文学类,3,492,492.33,493,
2021,甘肃,普通类,文科,图书情报与档案管理类,2,490,491.50,493,
2021,甘肃,普通类,文科,经济学类,2,493,493.00,493,
2021,甘肃,普通类,文科,工商管理类,2,495,495.50,496,
2021,甘肃,普通类,文科,法学,2,496,496.50,497,
2021,甘肃,普通类,理科,自动化,2,423,425.50,428,
2021,甘肃,普通类,理科,物流管理与工程类,2,417,420.50,424,
2021,甘肃,普通类,理科,外国语言文学类,2,417,418.00,419,
2021,甘肃,普通类,理科,土木类,3,419,421.00,424,
2021,甘肃,普通类,理科,经济与贸易类,2,418,418.00,418,
2021,甘肃,普通类,理科,经济学类,2,417,418.00,419,
2021,甘肃,普通类,理科,金融学类,3,417,418.00,420,
2021,甘肃,普通类,理科,交通运输 (空管与签派),2,427,430.50,434,
2021,甘肃,普通类,理科,交通运输,2,425,425.50,426,
2021,甘肃,普通类,理科,计算机类,6,420,421.67,423,
2021,甘肃,普通类,理科,机械类,4,421,425.00,433,
2021,甘肃,普通类,理科,环境工程,2,417,417.50,418,
2021,甘肃,普通类,理科,航空航天类,4,427,429.25,436,
2021,甘肃,普通类,理科,工业工程类,2,420,420.00,420,
2021,甘肃,普通类,理科,工商管理类,5,419,422.20,431,
2021,甘肃,普通类,理科,工程管理,4,417,418.25,419,
2021,甘肃,普通类,理科,电子信息类,4,420,423.50,431,
2021,甘肃,普通类,理科,电气工程及其自动化,2,425,428.50,432,
2021,甘肃,普通类,理科,材料类,4,417,417.50,419,
2021,甘肃,普通类,理科,安全工程,2,418,421.50,425,
2022,甘肃,普通类,文科,中国语言文学类,2,468,471.00,474,
2022,甘肃,普通类,文科,外国语言文学类,2,458,463.50,469,
2022,甘肃,普通类,文科,图书情报与档案管理类,2,470,470.50,471,
2022,甘肃,普通类,文科,经济学类,2,473,474.50,476,
2022,甘肃,普通类,文科,工商管理类,2,474,475.00,476,
2022,甘肃,普通类,文科,法学,2,472,472.50,473,
2022,甘肃,普通类,理科,物流管理与工程类,2,421,421.50,422,
2022,甘肃,普通类,理科,外国语言文学类,2,419,419.50,420,
2022,甘肃,普通类,理科,土木类,4,419,420.00,423,
2022,甘肃,普通类,理科,经济与贸易类,2,419,419.50,420,
2022,甘肃,普通类,理科,经济学类,2,420,422.00,424,
2022,甘肃,普通类,理科,金融学类,4,420,421.25,422,
2022,甘肃,普通类,理科,计算机类,4,423,425.50,430,
2022,甘肃,普通类,理科,机械类,5,423,428.60,438,
2022,甘肃,普通类,理科,工业工程类,3,422,422.00,422,
2022,甘肃,普通类,理科,工商管理类,6,420,424.67,433,
2022,甘肃,普通类,理科,工程管理,2,423,424.00,425,
2022,甘肃,普通类,理科,飞行器设计与工程,2,424,426.00,428,
2022,甘肃,普通类,理科,飞行器动力工程,3,423,424.00,425,
2022,甘肃,普通类,理科,电气工程及其自动化,2,428,433.00,438,
2022,甘肃,普通类,理科,材料类,5,420,420.60,422,
2023,甘肃,普通类,文科,中国语言文学类,3,475,475.67,477,
2023,甘肃,普通类,文科,外国语言文学类,2,471,472.00,473,
2023,甘肃,普通类,文科,图书情报与档案管理类,2,473,473.50,474,
2023,甘肃,普通类,文科,经济学类,3,472,472.33,473,
2023,甘肃,普通类,文科,工商管理类,2,476,477.50,479,
2023,甘肃,普通类,文科,法学,2,474,474.50,475,
2023,甘肃,普通类,理科,信息管理与信息系统,2,416,416.50,417,
2023,甘肃,普通类,理科,物流管理与工程类,3,412,413.67,416,
2023,甘肃,普通类,理科,外国语言文学类,2,412,414.50,417,
2023,甘肃,普通类,理科,土木类,4,412,412.50,414,
2023,甘肃,普通类,理科,经济与贸易类,2,414,415.50,417,
2023,甘肃,普通类,理科,经济学类,2,416,416.50,417,
2023,甘肃,普通类,理科,金融学类,3,412,416.67,426,
2023,甘肃,普通类,理科,计算机类,3,421,424.67,430,
2023,甘肃,普通类,理科,机械类,3,420,420.33,421,
2023,甘肃,普通类,理科,工业工程类,3,417,418.00,420,
2023,甘肃,普通类,理科,工商管理类,6,414,415.17,416,
2023,甘肃,普通类,理科,工程管理,2,417,419.50,422,
2023,甘肃,普通类,理科,飞行器设计与工程,3,420,423.67,427,
2023,甘肃,普通类,理科,飞行器动力工程,2,418,419.00,420,
2023,甘肃,普通类,理科,电气工程及其自动化,2,434,434.00,434,
2023,甘肃,普通类,理科,材料类,5,414,416.00,417,
2024,甘肃,普通类,历史类,中国语言文学类,3,497,497.67,499,
2024,甘肃,普通类,历史类,外国语言文学类,2,495,495.50,496,
2024,甘肃,普通类,历史类,图书情报与档案管理类,2,497,499.50,502,
2024,甘肃,普通类,历史类,法学,2,506,511.50,517,
2024,甘肃,普通类,物理类,信息管理与信息系统,2,481,482.00,483,
