年份,省市,类型,科类,专业,录取人数,最低分,平均分,最高分,备注
2021,广西,普通类,文科,中国语言文学类,2,504,505.00,506,
2021,广西,普通类,文科,行政管理,2,500,503.00,506,
2021,广西,普通类,文科,外国语言文学类,2,499,500.00,501,
2021,广西,普通类,文科,经济学类,2,504,505.00,506,
2021,广西,普通类,文科,工商管理类,2,507,509.00,511,
2021,广西,普通类,文科,法学,2,503,503.50,504,
2021,广西,普通类,理科,自动化,2,450,459.50,469,
2021,广西,普通类,理科,物流管理与工程类,2,407,409.00,411,
2021,广西,普通类,理科,土木类,3,410,429.67,459,
2021,广西,普通类,理科,图书情报与档案管理类,2,429,430.00,431,
2021,广西,普通类,理科,经济与贸易类,2,415,416.00,417,
2021,广西,普通类,理科,经济学类,2,416,418.00,420,
2021,广西,普通类,理科,金融学类,2,416,442.50,469,
2021,广西,普通类,理科,交通运输 (空管与签派),2,424,426.50,429,
2021,广西,普通类,理科,交通运输,2,411,411.50,412,
2021,广西,普通类,理科,计算机类,2,457,458.00,459,
2021,广西,普通类,理科,机械类,4,423,429.75,439,
2021,广西,普通类,理科,环境工程,2,408,414.00,420,
2021,广西,普通类,理科,航空航天类,3,438,440.67,445,
2021,广西,普通类,理科,工业工程类,3,411,416.67,425,
2021,广西,普通类,理科,工商管理类,5,424,444.80,470,
2021,广西,普通类,理科,工程管理,2,428,432.00,436,
2021,广西,普通类,理科,电子信息类,2,452,452.50,453,
2021,广西,普通类,理科,材料类,4,407,430.00,464,
2021,广西,普通类,理科,安全工程,2,422,432.50,443,
2022,广西,普通类,文科,中国语言文学类,2,504,504.00,504,
2022,广西,普通类,文科,行政管理,2,503,503.00,503,
2022,广西,普通类,文科,经济学类,2,518,531.00,544,
2022,广西,普通类,文科,工商管理类,2,523,525.50,528,
2022,广西,普通类,文科,法学,2,509,513.00,517,
2022,广西,普通类,理科,物流管理与工程类,2,429,431.00,433,
2022,广西,普通类,理科,土木类,3,427,429.67,435,
2022,广西,普通类,理科,图书情报与档案管理类,2,425,425.50,426,
2022,广西,普通类,理科,经济学类,2,430,430.00,430,
2022,广西,普通类,理科,金融学类,2,431,431.50,432,
2022,广西,普通类,理科,计算机类,3,447,449.33,451,
2022,广西,普通类,理科,机械类,4,428,431.50,437,
2022,广西,普通类,理科,广告学,2,437,451.00,465,
2022,广西,普通类,理科,工业工程类,2,442,442.00,442,
2022,广西,普通类,理科,工商管理类,5,441,449.20,456,
2022,广西,普通类,理科,飞行器动力工程,2,429,429.00,429,
2022,广西,普通类,理科,电子信息类,2,429,431.50,434,
2022,广西,普通类,理科,材料类,2,423,424.00,425,
2022,广西,普通类,理科,安全工程,2,399,412.50,426,
2023,广西,普通类,文科,中国语言文学类,2,506,508.50,511,
2023,广西,普通类,文科,行政管理,2,504,508.00,512,
2023,广西,普通类,文科,经济学类,2,502,503.50,505,
2023,广西,普通类,文科,工商管理类,2,510,515.50,521,
2023,广西,普通类,文科,法学,2,514,521.50,529,
2023,广西,普通类,理科,物流管理与工程类,2,429,432.00,435,
2023,广西,普通类,理科,土木类,3,422,424.67,427,
2023,广西,普通类,理科,图书情报与档案管理类,2,436,445.00,454,
2023,广西,普通类,理科,经济学类,2,428,434.00,440,
2023,广西,普通类,理科,金融学类,2,426,429.00,432,
2023,广西,普通类,理科,计算机类,3,445,448.67,454,
2023,广西,普通类,理科,机械类,4,438,440.25,443,
2023,广西,普通类,理科,广告学,2,405,407.50,410,
2023,广西,普通类,理科,工业工程类,2,440,442.00,444,
2023,广西,普通类,理科,工商管理类,5,401,422.00,438,
