年份,省市,类型,科类,专业,录取人数,最低分,平均分,最高分,备注
2021,贵州,普通类,文科,中国语言文学类,2,495,505.00,515,
2021,贵州,普通类,文科,行政管理,2,521,527.00,533,
2021,贵州,普通类,文科,外国语言文学类,3,510,523.00,537,
2021,贵州,普通类,文科,图书情报与档案管理类,3,509,515.33,519,
2021,贵州,普通类,文科,旅游管理,2,509,509.00,509,
2021,贵州,普通类,文科,经济学类,2,529,538.00,547,
2021,贵州,普通类,文科,工商管理类,2,535,537.50,540,
2021,贵州,普通类,文科,法语,2,510,526.00,542,
2021,贵州,普通类,文科,法学,2,529,531.00,533,
2021,贵州,普通类,理科,自动化,2,417,429.50,442,
2021,贵州,普通类,理科,行政管理,2,417,421.50,426,
2021,贵州,普通类,理科,信息管理与信息系统,2,418,422.50,427,
2021,贵州,普通类,理科,物流管理与工程类,5,412,412.60,414,
2021,贵州,普通类,理科,外国语言文学类,2,418,418.50,419,
2021,贵州,普通类,理科,土木类,6,412,418.00,427,
2021,贵州,普通类,理科,图书情报与档案管理类,2,412,414.50,417,
2021,贵州,普通类,理科,数学与应用数学,3,417,419.00,423,
2021,贵州,普通类,理科,旅游管理,2,425,425.50,426,
2021,贵州,普通类,理科,经济与贸易类,4,415,417.25,421,
2021,贵州,普通类,理科,经济学类,3,422,422.67,424,
2021,贵州,普通类,理科,金融学类,6,425,428.17,432,
2021,贵州,普通类,理科,交通运输 (空管与签派),2,423,429.00,435,
2021,贵州,普通类,理科,交通运输,2,427,429.50,432,
2021,贵州,普通类,理科,计算机类,12,418,422.42,431,
2021,贵州,普通类,理科,机械类,9,395,411.67,417,
2021,贵州,普通类,理科,环境工程,3,413,416.33,418,
2021,贵州,普通类,理科,航空航天类,9,417,423.33,441,
2021,贵州,普通类,理科,工业工程类,5,412,414.40,419,
2021,贵州,普通类,理科,工商管理类,9,428,438.44,457,
2021,贵州,普通类,理科,工程管理,5,412,413.60,415,
2021,贵州,普通类,理科,法学,2,442,446.00,450,
2021,贵州,普通类,理科,电子信息类,6,414,415.67,418,
2021,贵州,普通类,理科,电气工程及其自动化,2,416,418.00,420,
2021,贵州,普通类,理科,城乡规划,2,413,417.00,421,
2021,贵州,普通类,理科,材料类,7,412,412.86,415,
2021,贵州,普通类,理科,安全工程,2,414,414.50,415,
2021,贵州,艺术类,艺术综合,设计学类,9,229.33,234.07,240.66,
2021,贵州,艺术类,艺术综合,动画,3,229.32,231.43,235.65,
2021,贵州,艺术类,艺术综合,航空服务艺术与管理,5,242.00,259.08,280.76,
2022,贵州,艺术类,艺术综合,设计学类,9,245.99,247.40,249.00,美术类
2022,贵州,艺术类,艺术综合,动画,2,245.66,248.16,250.66,美术类
2022,贵州,艺术类,艺术综合,航空服务艺术与管理,4,233.00,251.37,269.96,校考成绩
2022,贵州,普通类,文科,中国语言文学类,3,517,520.67,523,
2022,贵州,普通类,文科,行政管理,2,513,514.00,515,
2022,贵州,普通类,文科,外国语言文学类,3,513,514.33,515,
2022,贵州,普通类,文科,图书情报与档案管理类,3,511,516.00,525,
2022,贵州,普通类,文科,旅游管理,2,512,513.50,515,
2022,贵州,普通类,文科,广告学,2,515,515.50,516,
2022,贵州,普通类,文科,工商管理类,2,531,539.00,547,
2022,贵州,普通类,文科,法语,3,512,513.00,514,
2022,贵州,普通类,文科,法学,2,519,520.00,521,
2022,贵州,普通类,理科,自动化,3,413,413.00,413,
2022,贵州,普通类,理科,行政管理,2,416,420.50,425,
2022,贵州,普通类,理科,物流管理与工程类,4,401,405.25,409,
2022,贵州,普通类,理科,外国语言文学类,4,405,415.25,428,
2022,贵州,普通类,理科,土木类,6,392,403.67,412,
2022,贵州,普通类,理科,图书情报与档案管理类,2,407,407.00,407,
2022,贵州,普通类,理科,数学与应用数学,3,411,415.33,419,
2022,贵州,普通类,理科,人工智能,2,414,415.00,416,
2022,贵州,普通类,理科,旅游管理,2,401,404.00,407,
2022,贵州,普通类,理科,经济与贸易类,2,403,403.50,404,
2022,贵州,普通类,理科,经济学类,2,405,413.50,422,
2022,贵州,普通类,理科,金融学类,7,393,409.14,425,
2022,贵州,普通类,理科,交通运输 (空管与签派),2,422,422.50,423,
2022,贵州,普通类,理科,交通运输,2,408,408.50,409,
2022,贵州,普通类,理科,计算机类,6,419,424.17,431,
2022,贵州,普通类,理科,机械类,7,411,414.57,421,
2022,贵州,普通类,理科,环境工程,2,408,410.50,413,
2022,贵州,普通类,理科,工业工程类,5,399,407.20,418,
2022,贵州,普通类,理科,工商管理类,9,417,425.67,437,
2022,贵州,普通类,理科,工程管理,3,403,407.00,410,
2022,贵州,普通类,理科,飞行器质量与可靠性,2,419,422.00,425,
2022,贵州,普通类,理科,飞行器适航技术,2,413,413.00,413,
2022,贵州,普通类,理科,飞行器设计与工程,2,413,414.00,415,
2022,贵州,普通类,理科,飞行器动力工程,2,420,422.50,425,
2022,贵州,普通类,理科,电子信息类,5,416,420.00,424,
2022,贵州,普通类,理科,电气工程及其自动化,3,420,422.33,425,
2022,贵州,普通类,理科,城乡规划,2,405,407.00,409,
2022,贵州,普通类,理科,材料类,6,399,407.00,411,
2022,贵州,普通类,理科,安全工程,3,409,411.00,412,
2023,贵州,普通类,文科,中国语言文学类,3,523,525.00,528,
2023,贵州,普通类,文科,行政管理,2,523,524.50,526,
2023,贵州,普通类,文科,外国语言文学类,3,519,519.67,520,
2023,贵州,普通类,文科,图书情报与档案管理类,2,520,520.50,521,
2023,贵州,普通类,文科,旅游管理,2,520,520.50,521,
2023,贵州,普通类,文科,金融学类,2,522,522.00,522,
2023,贵州,普通类,文科,广告学,2,520,521.00,522,
2023,贵州,普通类,文科,工商管理类,3,526,527.00,528,
2023,贵州,普通类,文科,法语,3,520,521.00,522,
2023,贵州,普通类,文科,法学,2,529,529.00,529,
2023,贵州,普通类,理科,自动化,2,432,432.50,433,
2023,贵州,普通类,理科,物流管理与工程类,5,413,415.60,421,
2023,贵州,普通类,理科,外国语言文学类,2,417,420.00,423,
2023,贵州,普通类,理科,土木类,7,414,417.57,426,
2023,贵州,普通类,理科,图书情报与档案管理类,2,416,419.50,423,
2023,贵州,普通类,理科,数学与应用数学,3,416,422.67,428,
2023,贵州,普通类,理科,人工智能,2,431,431.50,432,
2023,贵州,普通类,理科,能源与动力工程,2,422,422.50,423,
2023,贵州,普通类,理科,旅游管理,3,404,409.33,419,
2023,贵州,普通类,理科,经济与贸易类,2,417,418.00,419,
2023,贵州,普通类,理科,经济学类,2,424,428.00,432,
2023,贵州,普通类,理科,金融学类,6,424,427.33,433,
2023,贵州,普通类,理科,交通运输 (空管与签派),3,437,441.00,445,
2023,贵州,普通类,理科,交通运输,2,427,428.50,430,
2023,贵州,普通类,理科,计算机类,6,434,436.33,440,
2023,贵州,普通类,理科,机械类,6,427,428.67,431,
