年份,省市,类型,科类,专业,录取人数,最低分,平均分,最高分,备注
2021,河北,普通类,物理类,行政管理,2,504,507.00,510,
2021,河北,普通类,物理类,物流管理与工程类,6,495,496.67,498,
2021,河北,普通类,物理类,外国语言文学类,3,512,513.00,514,
2021,河北,普通类,物理类,土木类,6,504,505.50,508,
2021,河北,普通类,物理类,数学与应用数学,3,506,506.67,507,
2021,河北,普通类,物理类,经济与贸易类,3,505,505.33,506,
2021,河北,普通类,物理类,经济学类,4,507,509.25,512,
2021,河北,普通类,物理类,金融学类,6,510,512.67,520,
2021,河北,普通类,物理类,交通运输 (空管与签派),3,502,503.00,504,
2021,河北,普通类,物理类,交通运输,2,506,509.00,512,
2021,河北,普通类,物理类,计算机类,10,514,517.40,524,
2021,河北,普通类,物理类,机械类,3,508,508.00,508,
2021,河北,普通类,物理类,环境工程,3,503,506.33,508,
2021,河北,普通类,物理类,航空航天类,9,505,508.11,510,
2021,河北,普通类,物理类,广告学,2,511,516.00,521,
2021,河北,普通类,物理类,工业工程类,4,501,502.75,505,
2021,河北,普通类,物理类,工商管理类,9,513,515.00,520,
2021,河北,普通类,物理类,工程管理,3,506,508.00,509,
2021,河北,普通类,物理类,法语,2,513,517.00,521,
2021,河北,普通类,物理类,电子信息类,5,510,511.00,512,
2021,河北,普通类,物理类,电气工程及其自动化,3,511,511.67,513,
2021,河北,普通类,物理类,城乡规划,2,505,505.50,506,
2021,河北,普通类,物理类,材料类,9,495,500.67,513,
2021,河北,普通类,物理类,安全工程,3,502,503.33,504,
2021,河北,普通类,历史类,中国语言文学类,2,539,541.00,543,
2021,河北,普通类,历史类,行政管理,2,528,528.50,529,
2021,河北,普通类,历史类,外国语言文学类,3,535,536.00,537,
2021,河北,普通类,历史类,图书情报与档案管理类,2,538,543.00,548,
2021,河北,普通类,历史类,经济与贸易类,4,528,530.75,535,
2021,河北,普通类,历史类,经济学类,2,534,535.50,537,
2021,河北,普通类,历史类,工商管理类,2,541,543.50,546,
2021,河北,普通类,历史类,法语,2,531,533.00,535,
2021,河北,普通类,历史类,法学,3,538,539.33,540,
2021,河北,艺术类,不分首选科目,环境设计 (中外合作办学),7,517.13,518.76,522.23,
2021,河北,艺术类,不分首选科目,产品设计 (中外合作办学),7,514.46,515.27,516.35,
2021,河北,艺术类,不分首选科目,航空服务艺术与管理,31,257.48,267.77,284.40,
2021,河北,中外合作办学,物理类,飞行器设计与工程 (中外合作办学),6,463,473.67,494,
2021,河北,中外合作办学,物理类,自动化 (中外合作办学),2,504,507.50,511,
2021,河北,中外合作办学,物理类,质量管理工程 (中外合作办学),2,469,474.00,479,
2021,河北,中外合作办学,物理类,信息管理与信息系统 (中外合作办学),2,473,477.50,482,
2021,河北,中外合作办学,物理类,材料成型及控制工程 (中外合作办学),2,462,466.00,470,
2022,河北,艺术类,不分首选科目,环境设计 (中外合作办学),7,523.70,525.65,527.93,美术类
2022,河北,艺术类,不分首选科目,产品设计 (中外合作办学),7,525.15,528.17,535.05,美术类
2022,河北,艺术类,不分首选科目,航空服务艺术与管理,31,230.96,243.34,257.44,校考成绩
2022,河北,中外合作办学,物理类,飞行器设计与工程 (中外合作办学),6,476,481.00,489,
2022,河北,中外合作办学,物理类,自动化 (中外合作办学),3,500,501.00,502,
2022,河北,中外合作办学,物理类,质量管理工程 (中外合作办学),3,472,474.33,479,
2022,河北,中外合作办学,物理类,信息管理与信息系统 (中外合作办学),3,484,484.67,486,
2022,河北,中外合作办学,物理类,材料成型及控制工程 (中外合作办学),3,476,479.33,484,
2022,河北,普通类,历史类,中国语言文学类,3,538,539.67,541,
2022,河北,普通类,历史类,行政管理,2,527,529.50,532,
2022,河北,普通类,历史类,外国语言文学类,4,529,529.75,530,
2022,河北,普通类,历史类,图书情报与档案管理类,2,533,535.50,538,
2022,河北,普通类,历史类,经济与贸易类,2,532,532.00,532,
2022,河北,普通类,历史类,经济学类,2,531,531.00,531,
2022,河北,普通类,历史类,广告学,2,533,534.50,536,
2022,河北,普通类,历史类,工商管理类,2,541,542.00,543,
2022,河北,普通类,历史类,法语,2,526,526.50,527,
2022,河北,普通类,历史类,法学,2,540,541.00,542,
2022,河北,普通类,物理类,行政管理,2,505,505.50,506,
2022,河北,普通类,物理类,物流管理与工程类,4,499,501.00,505,
2022,河北,普通类,物理类,外国语言文学类,3,512,513.00,514,
2022,河北,普通类,物理类,土木类,5,504,504.80,507,
2022,河北,普通类,物理类,数学与应用数学,3,507,509.67,515,
2022,河北,普通类,物理类,人工智能,2,520,522.00,524,
2022,河北,普通类,物理类,经济与贸易类,3,505,505.67,507,
2022,河北,普通类,物理类,经济学类,3,508,510.33,512,
2022,河北,普通类,物理类,金融学类,5,511,511.80,515,
2022,河北,普通类,物理类,交通运输 (空管与签派),2,508,509.00,510,
2022,河北,普通类,物理类,计算机类,4,521,523.50,527,
2022,河北,普通类,物理类,机械类,5,509,509.80,512,
2022,河北,普通类,物理类,环境工程,2,504,505.00,506,
2022,河北,普通类,物理类,广告学,3,513,513.67,515,
2022,河北,普通类,物理类,工业工程类,6,500,502.83,507,
2022,河北,普通类,物理类,工商管理类,9,513,517.56,533,
2022,河北,普通类,物理类,工程管理,4,505,506.50,508,
2022,河北,普通类,物理类,飞行器质量与可靠性,2,505,505.50,506,
2022,河北,普通类,物理类,飞行器动力工程,2,510,511.50,513,
2022,河北,普通类,物理类,法语,2,513,514.00,515,
2022,河北,普通类,物理类,电子信息类,4,512,513.00,515,
2022,河北,普通类,物理类,电气工程及其自动化,3,514,517.67,523,
2022,河北,普通类,物理类,城乡规划,2,505,505.00,505,
2022,河北,普通类,物理类,材料类,5,496,497.80,501,
2022,河北,普通类,物理类,安全工程,3,499,499.00,499,
2023,河北,普通类,物理类,自动化,2,525,525.00,525,
2023,河北,普通类,物理类,物流管理与工程类,5,502,503.80,509,
2023,河北,普通类,物理类,外国语言文学类,2,514,514.50,515,
2023,河北,普通类,物理类,土木类,6,505,507.83,510,
2023,河北,普通类,物理类,数学与应用数学,2,514,515.50,517,
2023,河北,普通类,物理类,人工智能,2,531,531.50,532,
2023,河北,普通类,物理类,能源与动力工程,2,516,517.50,519,
2023,河北,普通类,物理类,经济与贸易类,2,513,513.00,513,
2023,河北,普通类,物理类,经济学类,2,515,516.00,517,
2023,河北,普通类,物理类,金融学类,4,519,522.00,524,
2023,河北,普通类,物理类,交通运输 (空管与签派),2,518,518.50,519,
2023,河北,普通类,物理类,计算机类,4,534,534.25,535,
2023,河北,普通类,物理类,机械类,5,520,521.60,524,
2023,河北,普通类,物理类,环境工程,2,499,499.50,500,
2023,河北,普通类,物理类,广告学,2,513,513.50,514,
2023,河北,普通类,物理类,工业工程类,4,505,507.75,509,
2023,河北,普通类,物理类,工商管理类,9,523,525.44,535,
2023,河北,普通类,物理类,工程管理,2,508,511.00,514,
2023,河北,普通类,物理类,飞行器质量与可靠性,2,515,516.50,518,
2023,河北,普通类,物理类,飞行器动力工程,2,520,523.50,527,
2023,河北,普通类,物理类,法语,2,482,496.50,511,
2023,河北,普通类,物理类,法学,2,526,529.50,533,
2023,河北,普通类,物理类,电子信息类,4,525,526.50,528,
2023,河北,普通类,物理类,大数据管理与应用,2,523,525.00,527,
2023,河北,普通类,物理类,城乡规划,2,507,508.00,509,
2023,河北,普通类,物理类,材料类,5,502,505.20,508,
2023,河北,普通类,历史类,中国语言文学类,3,539,540.33,541,
2023,河北,普通类,历史类,外国语言文学类,3,507,509.67,515,
2023,河北,普通类,历史类,图书情报与档案管理类,2,525,528.00,531,
2023,河北,普通类,历史类,经济与贸易类,2,516,516.50,517,
2023,河北,普通类,历史类,广告学,2,521,523.00,525,
2023,河北,普通类,历史类,工商管理类,2,541,545.00,549,
2023,河北,普通类,历史类,法语,2,501,524.50,548,
