年份,省市,类型,科类,专业,录取人数,最低分,平均分,最高分,备注
2021,黑龙江,普通类,文科,行政管理,2,399,424.50,450,
2021,黑龙江,普通类,文科,外国语言文学类,2,431,446.00,461,
2021,黑龙江,普通类,文科,图书情报与档案管理类,2,452,461.50,471,
2021,黑龙江,普通类,文科,经济与贸易类,3,450,455.33,460,
2021,黑龙江,普通类,文科,工商管理类,2,454,460.00,466,
2021,黑龙江,普通类,文科,法学,2,472,477.00,482,
2021,黑龙江,普通类,理科,行政管理,2,379,379.00,379,
2021,黑龙江,普通类,理科,物流管理与工程类,4,377,379.75,383,
2021,黑龙江,普通类,理科,外国语言文学类,2,403,412.50,422,
2021,黑龙江,普通类,理科,土木类,4,381,383.50,386,
2021,黑龙江,普通类,理科,图书情报与档案管理类,2,381,382.00,383,
2021,黑龙江,普通类,理科,数学与应用数学,2,383,397.50,412,
2021,黑龙江,普通类,理科,经济学类,3,381,387.00,390,
2021,黑龙江,普通类,理科,交通运输,2,394,395.00,396,
2021,黑龙江,普通类,理科,计算机类,6,405,405.67,406,
2021,黑龙江,普通类,理科,机械类,4,391,394.50,398,
2021,黑龙江,普通类,理科,环境工程,2,380,380.00,380,
2021,黑龙江,普通类,理科,航空航天类,4,403,416.50,429,
2021,黑龙江,普通类,理科,工业工程类,2,385,386.00,387,
2021,黑龙江,普通类,理科,工商管理类,6,386,391.33,397,
2021,黑龙江,普通类,理科,工程管理,2,383,384.50,386,
2021,黑龙江,普通类,理科,电子信息类,3,399,399.67,400,
2021,黑龙江,普通类,理科,电气工程及其自动化,2,401,413.50,426,
2021,黑龙江,普通类,理科,材料类,4,379,387.00,395,
2021,黑龙江,艺术类,文理综合,航空服务艺术与管理,12,256.48,268.43,281.6,
2021,黑龙江,艺术类,理科,设计学类,2,458.5,458.70,458.9,
2021,黑龙江,艺术类,理科,动画,1,456.6,456.60,456.6,
2021,黑龙江,艺术类,文科,设计学类,7,472.5,475.53,478.6,
2021,黑龙江,艺术类,文科,动画,2,473.6,474.20,474.8,
2021,黑龙江,中外合作办学,理科,自动化 (中外合作办学),3,371,379.00,386,
2021,黑龙江,中外合作办学,理科,质量管理工程 (中外合作办学),3,351,352.67,355,
2021,黑龙江,中外合作办学,理科,信息管理与信息系统 (中外合作办学),3,355,363.00,368,
2021,黑龙江,中外合作办学,理科,材料成型及控制工程 (中外合作办学),3,351,360.33,374,
2022,黑龙江,普通类,文科,行政管理,2,439,440.50,442,
2022,黑龙江,普通类,文科,外国语言文学类,2,446,449.50,453,
2022,黑龙江,普通类,文科,图书情报与档案管理类,2,446,447.00,448,
2022,黑龙江,普通类,文科,经济与贸易类,2,441,441.00,441,
2022,黑龙江,普通类,文科,工商管理类,2,449,449.00,449,
