年份,省市,类型,科类,专业,录取人数,最低分,平均分,最高分,备注
2021,海南,普通类,综合改革,信息管理与信息系统,2,540,541.50,543,
2021,海南,普通类,综合改革,物流管理与工程类,2,546,552.50,559,
2021,海南,普通类,综合改革,外国语言文学类,2,556,557.50,559,
2021,海南,普通类,综合改革,数学与应用数学,2,539,539.00,539,
2021,海南,普通类,综合改革,旅游管理,2,555,556.00,557,
2021,海南,普通类,综合改革,经济学类,2,558,560.50,563,
2021,海南,普通类,综合改革,交通运输 (空管与签派),2,553,553.50,554,
2021,海南,普通类,综合改革,交通运输,2,542,544.00,546,
2021,海南,普通类,综合改革,计算机类,3,547,557.67,572,
2021,海南,普通类,综合改革,航空航天类,2,544,546.00,548,
2021,海南,普通类,综合改革,工业工程类,2,535,542.00,549,
2021,海南,普通类,综合改革,工商管理类,2,561,563.50,566,
2021,海南,普通类,综合改革,电子信息类,3,543,546.33,552,
2021,海南,普通类,综合改革,电气工程及其自动化,2,546,553.00,560,
2022,海南,普通类,综合改革,信息管理与信息系统,3,548,548.33,549,
2022,海南,普通类,综合改革,物流管理与工程类,2,552,554.00,556,
2022,海南,普通类,综合改革,外国语言文学类,2,532,532.00,532,
2022,海南,普通类,综合改革,数学与应用数学,2,550,551.00,552,
2022,海南,普通类,综合改革,人工智能,2,553,553.50,554,
2022,海南,普通类,综合改革,旅游管理,3,538,542.33,548,
2022,海南,普通类,综合改革,经济学类,2,548,555.50,563,
2022,海南,普通类,综合改革,计算机类,2,559,564.50,570,
2022,海南,普通类,综合改革,工业工程类,2,551,552.50,554,
2022,海南,普通类,综合改革,工商管理类,5,533,548.40,560,
2022,海南,普通类,综合改革,飞行器适航技术,2,550,552.00,554,
2022,海南,普通类,综合改革,电子信息类,3,551,553.33,555,
2022,海南,普通类,综合改革,电气工程及其自动化,2,555,556.50,558,
2023,海南,普通类,综合改革,信息管理与信息系统,2,563,563.50,564,
2023,海南,普通类,综合改革,物流管理与工程类,2,567,572.50,578,
2023,海南,普通类,综合改革,外国语言文学类,2,556,556.50,557,
2023,海南,普通类,综合改革,数学与应用数学,2,561,562.00,563,
2023,海南,普通类,综合改革,人工智能,2,567,568.00,569,
2023,海南,普通类,综合改革,旅游管理,2,558,558.50,559,
2023,海南,普通类,综合改革,经济学类,2,561,572.00,583,
2023,海南,普通类,综合改革,计算机类,2,565,566.00,567,
2023,海南,普通类,综合改革,工业工程类,2,558,558.50,559,
2023,海南,普通类,综合改革,工商管理类,5,560,565.80,574,
2023,海南,普通类,综合改革,飞行器适航技术,2,561,561.50,562,
2023,海南,普通类,综合改革,电子信息类,3,564,569.00,576,
2023,海南,普通类,综合改革,电气工程及其自动化,2,568,570.50,573,
2024,海南,普通类,综合改革,信息管理与信息系统,2,578,578.00,578,
2024,海南,普通类,综合改革,物流管理与工程类,2,581,581.00,581,
2024,海南,普通类,综合改革,外国语言文学类,2,570,571.50,573,
2024,海南,普通类,综合改革,数学与应用数学,2,542,551.50,561,
2024,海南,普通类,综合改革,人工智能,2,556,556.00,556,
2024,海南,普通类,综合改革,经济学类,2,578,580.00,582,
2024,海南,普通类,综合改革,计算机类,2,570,582.50,595,
2024,海南,普通类,综合改革,工业工程类,2,593,593.50,594,
2024,海南,普通类,综合改革,工商管理类,5,575,576.40,578,
2024,海南,普通类,综合改革,飞行器适航技术,2,554,559.50,565,
2024,海南,普通类,综合改革,电子信息类,3,543,551.00,566,
2024,海南,普通类,综合改革,电气工程及其自动化,2,571,572.50,574,
2024,海南,普通类,综合改革,材料类,2,540,541.50,543,
2025,海南,普通类,综合改革,物流管理,2,566,566.50,567,
2025,海南,普通类,综合改革,数学与应用数学,2,560,561.50,563,
2025,海南,普通类,综合改革,审计学,2,595,598.50,602,
2025,海南,普通类,综合改革,人工智能,2,574,575.00,576,
2025,海南,普通类,综合改革,贸易经济,2,565,565.00,565,
2025,海南,普通类,综合改革,金融学,2,571,574.50,578,
2025,海南,普通类,综合改革,交通运输 (空管与签派方向),2,574,574.00,574,
2025,海南,普通类,综合改革,计算机类,2,564,575.00,586,
2025,海南,普通类,综合改革,会计学,2,576,576.00,576,
2025,海南,普通类,综合改革,国际经济与贸易,2,569,570.00,571,
2025,海南,普通类,综合改革,工业工程,2,580,585.50,591,
2025,海南,普通类,综合改革,电子信息类,2,567,567.00,567,
2025,海南,普通类,综合改革,电气工程及其自动化,2,568,572.50,577,
2025,海南,普通类,综合改革,大数据管理与应用,2,571,572.00,573,
2025,海南,普通类,综合改革,材料类,2,560,560.00,560,
