年份,省市,类型,科类,专业,录取人数,最低分,平均分,最高分,备注
2021,湖北,普通类,物理类,物流管理与工程类,4,500,501.00,502,
2021,湖北,普通类,物理类,外国语言文学类,2,502,503.00,504,
2021,湖北,普通类,物理类,土木类,2,506,506.00,506,
2021,湖北,普通类,物理类,数学与应用数学,2,501,501.50,502,
2021,湖北,普通类,物理类,经济与贸易类,3,501,501.67,503,
2021,湖北,普通类,物理类,金融学类,4,501,502.25,505,
2021,湖北,普通类,物理类,交通运输 (空管与签派),2,501,501.50,502,
2021,湖北,普通类,物理类,交通运输,2,500,501.00,502,
2021,湖北,普通类,物理类,计算机类,8,505,509.13,518,
2021,湖北,普通类,物理类,机械类,6,499,501.17,502,
2021,湖北,普通类,物理类,环境工程,2,504,508.00,512,
2021,湖北,普通类,物理类,航空航天类,5,502,504.60,508,
2021,湖北,普通类,物理类,工业工程类,3,501,502.00,504,
2021,湖北,普通类,物理类,工商管理类,6,503,505.33,507,
2021,湖北,普通类,物理类,电子信息类,3,505,507.00,511,
2021,湖北,普通类,物理类,电气工程及其自动化,2,505,510.00,515,
2021,湖北,普通类,物理类,材料类,3,502,503.33,506,
2021,湖北,普通类,物理类,安全工程,2,503,503.50,504,
2021,湖北,普通类,历史类,中国语言文学类,2,539,540.00,541,
2021,湖北,普通类,历史类,外国语言文学类,2,545,545.50,546,
2021,湖北,普通类,历史类,图书情报与档案管理类,2,540,541.50,543,
2021,湖北,普通类,历史类,经济与贸易类,3,541,544.00,548,
2021,湖北,普通类,历史类,工商管理类,2,543,547.50,552,
2021,湖北,艺术类,不分首选科目,环境设计 (中外合作办学),7,588,589.94,592,
2021,湖北,艺术类,不分首选科目,产品设计 (中外合作办学),7,585.2,588.69,598,
2022,湖北,艺术类,艺术综合,环境设计 (中外合作办学),7,574.4,577.43,587.6,美术类
2022,湖北,艺术类,艺术综合,产品设计 (中外合作办学),7,575.2,578.51,581.6,美术类
2022,湖北,普通类,物理类,物流管理与工程类,3,459,478.33,489,
2022,湖北,普通类,物理类,外国语言文学类,3,463,469.00,475,
2022,湖北,普通类,物理类,土木类,3,489,491.33,496,
2022,湖北,普通类,物理类,数学与应用数学,2,483,483.00,483,
2022,湖北,普通类,物理类,人工智能,3,492,492.33,493,
2022,湖北,普通类,物理类,经济与贸易类,3,477,481.00,484,
2022,湖北,普通类,物理类,金融学类,5,487,492.40,505,
2022,湖北,普通类,物理类,交通运输 (空管与签派),2,487,490.50,494,
2022,湖北,普通类,物理类,计算机类,3,496,503.67,511,
2022,湖北,普通类,物理类,机械类,5,484,488.60,495,
2022,湖北,普通类,物理类,工业工程类,4,492,493.50,495,
2022,湖北,普通类,物理类,工商管理类,7,465,486.86,502,
2022,湖北,普通类,物理类,飞行器适航技术,2,484,484.50,485,
2022,湖北,普通类,物理类,飞行器动力工程,2,487,488.00,489,
2022,湖北,普通类,物理类,电子信息类,3,500,501.67,503,
2022,湖北,普通类,物理类,材料类,4,488,489.25,490,
2022,湖北,普通类,物理类,安全工程,2,490,490.00,490,
2022,湖北,普通类,历史类,中国语言文学类,3,511,511.67,512,
2022,湖北,普通类,历史类,外国语言文学类,3,507,512.33,517,
2022,湖北,普通类,历史类,图书情报与档案管理类,2,507,509.00,511,
2022,湖北,普通类,历史类,经济与贸易类,2,509,511.50,514,
2022,湖北,普通类,历史类,工商管理类,2,516,521.00,526,
2023,湖北,艺术类,艺术综合,环境设计 (中外合作办学),7,571.2,574.00,579.2,美术类
2023,湖北,艺术类,艺术综合,产品设计 (中外合作办学),7,569.6,572.69,581.6,美术类
2023,湖北,普通类,物理类,物流管理与工程类,4,510,510.25,511,
2023,湖北,普通类,物理类,外国语言文学类,2,500,502.50,505,
2023,湖北,普通类,物理类,土木类,3,511,512.67,514,
2023,湖北,普通类,物理类,数学与应用数学,3,511,511.67,512,
2023,湖北,普通类,物理类,人工智能,2,515,515.50,516,
2023,湖北,普通类,物理类,经济与贸易类,3,496,497.33,499,
2023,湖北,普通类,物理类,金融学类,3,495,500.33,505,
2023,湖北,普通类,物理类,交通运输 (空管与签派),2,515,515.50,516,
2023,湖北,普通类,物理类,计算机类,3,521,521.33,522,
2023,湖北,普通类,物理类,机械类,5,512,520.80,530,
2023,湖北,普通类,物理类,工业工程类,3,513,517.33,525,
2023,湖北,普通类,物理类,工商管理类,7,496,507.00,517,
2023,湖北,普通类,物理类,飞行器适航技术,2,511,512.00,513,
2023,湖北,普通类,物理类,飞行器动力工程,2,515,518.50,522,
2023,湖北,普通类,物理类,电子信息类,3,522,522.33,523,
2023,湖北,普通类,物理类,材料类,4,510,510.75,511,
2023,湖北,普通类,物理类,安全工程,3,511,513.67,517,
2023,湖北,普通类,历史类,中国语言文学类,3,508,515.67,530,
2023,湖北,普通类,历史类,外国语言文学类,3,497,500.67,503,
2023,湖北,普通类,历史类,图书情报与档案管理类,2,506,518.00,530,
2023,湖北,普通类,历史类,经济与贸易类,2,498,498.50,499,
2023,湖北,普通类,历史类,工商管理类,2,503,503.00,503,
2024,湖北,普通类,历史类,中国语言文学类,3,508,508.00,508,
2024,湖北,普通类,历史类,外国语言文学类,3,506,506.33,507,
2024,湖北,普通类,历史类,图书情报与档案管理类,2,509,509.50,510,
2024,湖北,普通类,历史类,经济与贸易类,2,513,531.00,549,
2024,湖北,普通类,物理类,物流管理与工程类,4,511,514.00,517,
2024,湖北,普通类,物理类,外国语言文学类,2,508,508.50,509,
2024,湖北,普通类,物理类,土木类,3,512,514.00,517,
2024,湖北,普通类,物理类,数学与应用数学,3,514,515.33,516,
2024,湖北,普通类,物理类,人工智能,2,521,523.50,526,
2024,湖北,普通类,物理类,经济与贸易类,3,507,510.00,514,
2024,湖北,普通类,物理类,金融学类,3,507,508.00,509,
2024,湖北,普通类,物理类,交通运输 (空管与签派),2,526,527.00,528,
2024,湖北,普通类,物理类,计算机类,3,528,534.00,544,
2024,湖北,普通类,物理类,机械设计制造及其自动化,2,522,524.00,526,
2024,湖北,普通类,物理类,工业工程类,3,518,520.33,522,
2024,湖北,普通类,物理类,工商管理类,9,510,517.11,543,
2024,湖北,普通类,物理类,飞行器适航技术,2,518,521.50,525,
2024,湖北,普通类,物理类,飞行器动力工程,2,519,528.50,538,
2024,湖北,普通类,物理类,电子信息类,3,528,531.00,536,
2024,湖北,普通类,物理类,车辆工程,3,513,515.67,517,
2024,湖北,普通类,物理类,材料类,6,512,516.33,521,
2024,湖北,普通类,物理类,安全工程,3,512,515.67,520,
2024,湖北,中外合作办学,物理类,自动化 (中外合作办学),3,481,482.67,486,
2024,湖北,中外合作办学,物理类,质量管理工程 (中外合作办学),3,494,497.00,503,
2024,湖北,中外合作办学,物理类,信息管理与信息系统 (中外合作办学),3,500,506.33,515,
2024,湖北,中外合作办学,物理类,材料成型及控制工程 (中外合作办学),3,480,480.00,480,
2025,湖北,中外合作办学,理 / 物理,自动化 (中外合作办学),3,505,508.67,514,
2025,湖北,中外合作办学,理 / 物理,质量管理工程 (中外合作办学),3,486,490,498,
2025,湖北,中外合作办学,理 / 物理,信息管理与信息系统 (中外合作办学),3,486,489.67,496,
2025,湖北,中外合作办学,理 / 物理,材料成型及控制工程 (中外合作办学),3,491,493.33,495,
2025,湖北,普通类,文 / 历史,中国语言文学类,3,534,539.67,548,
2025,湖北,普通类,文 / 历史,外国语言文学类,3,532,533,535,
2025,湖北,普通类,文 / 历史,图书情报与档案管理类,2,531,531,531,
2025,湖北,普通类,文 / 历史,国际经济与贸易,2,533,534.5,536,
2025,湖北,普通类,文 / 历史,城乡规划,2,530,530.5,531,
2025,湖北,普通类,理 / 物理,质量管理工程,2,511,512.5,514,
2025,湖北,普通类,理 / 物理,物流管理,2,504,504.5,505,
2025,湖北,普通类,理 / 物理,土木工程,4,519,520.25,521,
2025,湖北,普通类,理 / 物理,探测制导与控制技术,2,527,527,527,
2025,湖北,普通类,理 / 物理,市场营销,2,506,507.5,509,
2025,湖北,普通类,理 / 物理,审计学,2,514,518.5,523,
2025,湖北,普通类,理 / 物理,人力资源管理,2,508,509,510,
2025,湖北,普通类,理 / 物理,人工智能,2,521,521.5,522,
2025,湖北,普通类,理 / 物理,经济统计学,2,511,511,511,
2025,湖北,普通类,理 / 物理,金融科技,2,511,512.5,514,
2025,湖北,普通类,理 / 物理,计算机类,3,523,524.33,526,
2025,湖北,普通类,理 / 物理,机械设计制造及其自动化,2,524,526.5,529,
2025,湖北,普通类,理 / 物理,会计学,2,512,512.5,513,
2025,湖北,普通类,理 / 物理,工业工程,2,521,524.5,528,
2025,湖北,普通类,理 / 物理,工商管理,2,510,510,510,
2025,湖北,普通类,理 / 物理,飞行器质量与可靠性,2,527,527.5,528,
2025,湖北,普通类,理 / 物理,飞行器制造工程,2,529,531.5,534,
2025,湖北,普通类,理 / 物理,飞行器运维工程,2,526,526,526,
2025,湖北,普通类,理 / 物理,飞行器适航技术,2,528,531,534,
2025,湖北,普通类,理 / 物理,飞行器动力工程,2,530,532,534,
2025,湖北,普通类,理 / 物理,电子信息类,2,528,529,530,
2025,湖北,普通类,理 / 物理,车辆工程,2,522,522.5,523,
2025,湖北,普通类,理 / 物理,材料类,6,519,521.33,524,
2025,湖北,普通类,理 / 物理,安全工程,3,520,521.67,525,
