年份,省市,类型,科类,专业,录取人数,最低分,平均分,最高分,备注
2021,湖南,普招 - 飞行技术,物理类,飞行技术,3,483,486.67,490,
2021,湖南,普通类,物理类,行政管理,2,503,505.00,507,
2021,湖南,普通类,物理类,信息管理与信息系统,2,498,498.00,498,
2021,湖南,普通类,物理类,物流管理与工程类,6,494,496.83,506,
2021,湖南,普通类,物理类,外国语言文学类,2,494,498.00,502,
2021,湖南,普通类,物理类,土木类,6,495,496.67,500,
2021,湖南,普通类,物理类,数学与应用数学,3,498,500.33,505,
2021,湖南,普通类,物理类,经济与贸易类,2,499,504.00,509,
2021,湖南,普通类,物理类,经济学类,2,501,501.50,502,
2021,湖南,普通类,物理类,金融学类,5,497,499.60,507,
2021,湖南,普通类,物理类,交通运输 (空管与签派),2,503,507.50,512,
2021,湖南,普通类,物理类,交通运输,2,496,496.00,496,
2021,湖南,普通类,物理类,计算机类,9,498,503.22,523,
2021,湖南,普通类,物理类,机械类,8,496,502.75,527,
2021,湖南,普通类,物理类,环境工程,2,495,496.00,497,
2021,湖南,普通类,物理类,航空航天类,6,496,498.17,499,
2021,湖南,普通类,物理类,工业工程类,3,495,495.33,496,
2021,湖南,普通类,物理类,工商管理类,6,496,505.00,521,
2021,湖南,普通类,物理类,工程管理,4,495,496.25,498,
2021,湖南,普通类,物理类,电子信息类,3,499,508.33,514,
2021,湖南,普通类,物理类,电气工程及其自动化,2,507,518.00,529,
2021,湖南,普通类,物理类,材料类,8,495,496.38,499,
2021,湖南,普通类,历史类,中国语言文学类,2,519,519.50,520,
2021,湖南,普通类,历史类,行政管理,2,515,517.00,519,
2021,湖南,普通类,历史类,外国语言文学类,2,519,520.50,522,
2021,湖南,普通类,历史类,图书情报与档案管理类,2,516,516.50,517,
2021,湖南,普通类,历史类,经济与贸易类,3,513,514.00,515,
2021,湖南,普通类,历史类,工商管理类,2,518,518.50,519,
2021,湖南,普通类,历史类,法语,2,514,515.00,516,
2021,湖南,艺术类,历史类,环境设计 (中外合作办学),5,285.1,286.78,288.7,
2021,湖南,艺术类,历史类,产品设计 (中外合作办学),5,284.4,284.98,285.9,
2021,湖南,艺术类,历史类,航空服务艺术与管理,32,266.76,274.25,285.12,
2021,湖南,艺术类,物理类,环境设计 (中外合作办学),2,277.8,278.25,278.7,
2021,湖南,艺术类,物理类,产品设计 (中外合作办学),2,275.9,277.15,278.4,
2021,湖南,艺术类,物理类,航空服务艺术与管理,5,267.36,269.99,275.72,
2022,湖南,普招 - 飞行技术,物理类,飞行技术,1,469,469.00,469,
2022,湖南,普通类,历史类,中国语言文学类,4,492,496.50,501,
2022,湖南,普通类,历史类,行政管理,2,494,496.00,498,
2022,湖南,普通类,历史类,外国语言文学类,4,482,486.00,491,
