年份,省市,类型,科类,专业,录取人数,最低分,平均分,最高分,备注
2021,江苏,普通类,历史类,中国语言文学类,2,507,514.00,521,
2021,江苏,普通类,历史类,行政管理,2,505,507.50,510,
2021,江苏,普通类,历史类,外国语言文学类,2,506,506.00,506,
2021,江苏,普通类,历史类,图书情报与档案管理类,3,506,512.33,518,
2021,江苏,普通类,历史类,经济与贸易类,3,508,510.33,513,
2021,江苏,普通类,历史类,广告学,2,510,517.00,524,
2021,江苏,普通类,历史类,工商管理类,2,509,509.50,510,
2021,江苏,普通类,历史类,法学,2,514,514.50,515,
2021,江苏,普通类,物理类,行政管理,2,474,475.00,476,
2021,江苏,普通类,物理类,物流管理与工程类,6,471,473.17,477,
2021,江苏,普通类,物理类,土木类,6,471,475.83,485,
2021,江苏,普通类,物理类,经济与贸易类,4,470,471.25,473,
2021,江苏,普通类,物理类,经济学类,2,475,475.50,476,
2021,江苏,普通类,物理类,金融学类,5,476,483.00,497,
2021,江苏,普通类,物理类,交通运输 (空管与签派),3,469,469.33,470,
2021,江苏,普通类,物理类,交通运输,2,467,468.00,469,
2021,江苏,普通类,物理类,计算机类,8,478,483.75,499,
2021,江苏,普通类,物理类,机械类,9,466,467.00,469,
2021,江苏,普通类,物理类,环境工程,2,476,479.00,482,
2021,江苏,普通类,物理类,航空航天类,9,470,474.22,485,
2021,江苏,普通类,物理类,工业工程类,5,477,484.60,493,
2021,江苏,普通类,物理类,工商管理类,9,471,478.11,486,
2021,江苏,普通类,物理类,工程管理,4,471,472.25,474,
2021,江苏,普通类,物理类,法学,2,479,481.00,483,
2021,江苏,普通类,物理类,电子信息类,6,477,479.67,486,
2021,江苏,普通类,物理类,电气工程及其自动化,3,476,478.67,481,
2021,江苏,普通类,物理类,材料类,4,471,471.00,471,
2021,江苏,艺术类,物理类,环境设计 (中外合作办学),2,414,417.50,421,
2021,江苏,艺术类,物理类,产品设计 (中外合作办学),2,413,417.00,421,
2021,江苏,艺术类,物理类,航空服务艺术与管理,2,251.2,263.40,275.6,
2021,江苏,艺术类,历史类,环境设计 (中外合作办学),5,448,451.20,458,
2021,江苏,艺术类,历史类,产品设计 (中外合作办学),5,446,448.40,455,
2021,江苏,艺术类,历史类,航空服务艺术与管理,14,243.28,257.40,270.72,
2021,江苏,中外合作办学,物理类,飞行器设计与工程 (中外合作办学),6,441,445.67,451,
2022,江苏,普通类,物理类,自动化,2,495,498.00,501,
2022,江苏,普通类,物理类,信息管理与信息系统,2,494,494.00,494,
2022,江苏,普通类,物理类,物流管理与工程类,6,487,491.00,494,
2022,江苏,普通类,物理类,无人驾驶航空器系统工程,2,491,494.50,498,
2022,江苏,普通类,物理类,外国语言文学类,2,489,493.00,497,
2022,江苏,普通类,物理类,土木类,6,487,490.83,494,
2022,江苏,普通类,物理类,人工智能,2,499,502.50,506,
2022,江苏,普通类,物理类,经济与贸易类,3,488,490.67,493,
2022,江苏,普通类,物理类,经济学类,4,488,491.25,495,
2022,江苏,普通类,物理类,金融学类,6,488,495.17,501,
2022,江苏,普通类,物理类,交通运输,2,487,487.50,488,
2022,江苏,普通类,物理类,机械类,5,487,488.40,490,
2022,江苏,普通类,物理类,环境工程,2,487,492.00,497,
2022,江苏,普通类,物理类,广告学,2,487,489.50,492,
2022,江苏,普通类,物理类,工业工程类,5,496,502.20,521,
2022,江苏,普通类,物理类,工商管理类,9,499,505.33,528,
2022,江苏,普通类,物理类,工程管理,2,492,492.50,493,
2022,江苏,普通类,物理类,飞行器质量与可靠性,2,490,501.00,512,
2022,江苏,普通类,物理类,飞行器适航技术,2,490,490.00,490,
2022,江苏,普通类,物理类,法学,2,499,500.00,501,
2022,江苏,普通类,物理类,电子信息类,4,503,505.50,507,
2022,江苏,普通类,物理类,电气工程及其自动化,3,494,495.67,497,
2022,江苏,普通类,物理类,城乡规划,2,488,490.50,493,
2022,江苏,普通类,物理类,材料类,6,487,488.50,491,
2022,江苏,普通类,历史类,中国语言文学类,4,504,505.25,507,
2022,江苏,普通类,历史类,行政管理,3,504,505.33,507,
2022,江苏,普通类,历史类,外国语言文学类,4,505,506.75,509,
2022,江苏,普通类,历史类,图书情报与档案管理类,3,506,506.67,508,
2022,江苏,普通类,历史类,经济与贸易类,2,505,506.00,507,
2022,江苏,普通类,历史类,广告学,2,509,512.00,515,
2022,江苏,普通类,历史类,工商管理类,2,506,507.50,509,
2022,江苏,普通类,历史类,法学,2,509,510.00,511,
2022,江苏,艺术类,历史类,环境设计 (中外合作办学),5,458,461.00,464,美术类
2022,江苏,艺术类,历史类,产品设计 (中外合作办学),5,460,463.20,472,美术类
2022,江苏,艺术类,历史类,航空服务艺术与管理,12,240,248.69,262.52,校考成绩
2022,江苏,艺术类,物理类,环境设计 (中外合作办学),2,464,467.00,470,美术类
2022,江苏,艺术类,物理类,产品设计 (中外合作办学),2,460,464.00,468,美术类
2022,江苏,艺术类,物理类,航空服务艺术与管理,1,242.6,242.60,242.6,校考成绩
2022,江苏,中外合作办学,物理类,飞行器设计与工程 (中外合作办学),6,464,470.83,482,
2023,江苏,普通类,历史类,中国语言文学类,3,521,522.00,523,
2023,江苏,普通类,历史类,外国语言文学类,2,519,519.00,519,
2023,江苏,普通类,历史类,图书情报与档案管理类,2,518,519.50,521,
2023,江苏,普通类,历史类,经济与贸易类,2,520,522.50,525,
