年份,省市,类型,科类,专业,录取人数,最低分,平均分,最高分,备注
2021,江西,普通类,文科,中国语言文学类,2,558,558.50,559,
2021,江西,普通类,文科,行政管理,2,555,557.00,559,
2021,江西,普通类,文科,外国语言文学类,2,555,555.00,555,
2021,江西,普通类,文科,图书情报与档案管理类,3,555,555.33,556,
2021,江西,普通类,文科,经济学类,2,556,558.00,560,
2021,江西,普通类,文科,工商管理类,2,560,565.00,570,
2021,江西,普通类,理科,自动化,2,506,517.50,529,
2021,江西,普通类,理科,信息管理与信息系统,2,494,497.00,500,
2021,江西,普通类,理科,物流管理与工程类,5,491,492.80,496,
2021,江西,普通类,理科,外国语言文学类,2,501,506.00,511,
2021,江西,普通类,理科,土木类,5,495,497.60,504,
2021,江西,普通类,理科,图书情报与档案管理类,2,491,491.00,491,
2021,江西,普通类,理科,数学与应用数学,3,492,494.67,498,
2021,江西,普通类,理科,旅游管理,2,491,491.50,492,
2021,江西,普通类,理科,经济与贸易类,2,492,494.00,496,
2021,江西,普通类,理科,经济学类,2,496,497.00,498,
2021,江西,普通类,理科,金融学类,4,492,496.25,499,
2021,江西,普通类,理科,交通运输 (空管与签派),2,495,499.50,504,
2021,江西,普通类,理科,交通运输,2,494,495.50,497,
2021,江西,普通类,理科,计算机类,8,496,503.50,517,
2021,江西,普通类,理科,机械类,7,494,498.43,507,
2021,江西,普通类,理科,环境工程,2,493,493.00,493,
2021,江西,普通类,理科,航空航天类,5,499,504.20,510,
2021,江西,普通类,理科,工业工程类,3,491,496.67,506,
2021,江西,普通类,理科,工商管理类,8,497,503.38,513,
2021,江西,普通类,理科,工程管理,4,491,498.25,504,
2021,江西,普通类,理科,电子信息类,4,502,512.50,526,
2021,江西,普通类,理科,电气工程及其自动化,2,509,509.00,509,
2021,江西,普通类,理科,城乡规划,2,491,491.50,492,
2021,江西,普通类,理科,材料类,7,491,494.71,502,
2021,江西,艺术类,艺术综合,设计学类,9,495.96,515.71,525.2,
2021,江西,艺术类,艺术综合,动画,3,507.43,516.02,524.53,
2021,江西,艺术类,艺术综合,航空服务艺术与管理,18,247.56,257.28,272.24,
2022,江西,艺术类,艺术综合,设计学类,9,519.53,520.94,524.16,美术类
2022,江西,艺术类,艺术综合,动画,2,518.81,518.82,518.83,美术类
2022,江西,艺术类,艺术综合,航空服务艺术与管理,18,243.16,249.42,271.08,校考成绩
2022,江西,普通类,文科,中国语言文学类,4,522,523.50,525,
2022,江西,普通类,文科,行政管理,2,519,520.50,522,
2022,江西,普通类,文科,外国语言文学类,3,519,519.33,520,
2022,江西,普通类,文科,图书情报与档案管理类,4,518,519.75,522,
2022,江西,普通类,文科,经济学类,2,527,528.00,529,
2022,江西,普通类,文科,工商管理类,2,529,530.00,531,
2022,江西,普通类,理科,自动化,3,495,496.33,497,
2022,江西,普通类,理科,信息管理与信息系统,2,491,493.50,496,
2022,江西,普通类,理科,物流管理与工程类,4,483,485.50,488,
2022,江西,普通类,理科,无人驾驶航空器系统工程,2,493,493.00,493,
2022,江西,普通类,理科,外国语言文学类,2,486,498.50,511,
2022,江西,普通类,理科,土木类,5,486,488.20,490,
2022,江西,普通类,理科,图书情报与档案管理类,2,485,485.00,485,
2022,江西,普通类,理科,数学与应用数学,3,494,494.33,495,
2022,江西,普通类,理科,旅游管理,2,484,484.00,484,
2022,江西,普通类,理科,经济学类,3,484,485.67,487,
2022,江西,普通类,理科,金融学类,4,486,492.75,502,
2022,江西,普通类,理科,交通运输 (空管与签派),2,491,496.00,501,
2022,江西,普通类,理科,交通运输,2,484,487.50,491,
2022,江西,普通类,理科,计算机类,6,499,501.33,503,
2022,江西,普通类,理科,机械类,5,492,494.20,496,
2022,江西,普通类,理科,环境工程,2,489,491.00,493,
2022,江西,普通类,理科,工业工程类,4,485,495.25,503,
2022,江西,普通类,理科,工商管理类,8,484,491.50,496,
2022,江西,普通类,理科,工程管理,3,485,487.33,490,
2022,江西,普通类,理科,飞行器动力工程,3,496,500.33,508,
2022,江西,普通类,理科,电子信息类,4,496,499.25,506,
2022,江西,普通类,理科,电气工程及其自动化,2,501,503.00,505,
2022,江西,普通类,理科,城乡规划,2,484,484.50,485,
2022,江西,普通类,理科,材料类,5,486,489.40,493,
2023,江西,普通类,文科,中国语言文学类,4,526,528.75,532,
2023,江西,普通类,文科,外国语言文学类,3,524,524.33,525,
2023,江西,普通类,文科,图书情报与档案管理类,2,524,525.50,527,
2023,江西,普通类,文科,经济学类,2,526,528.50,531,
2023,江西,普通类,理科,自动化,3,504,508.67,512,
2023,江西,普通类,理科,信息管理与信息系统,2,502,502.00,502,
2023,江西,普通类,理科,物流管理与工程类,4,493,495.75,500,
2023,江西,普通类,理科,无人驾驶航空器系统工程,2,498,499.50,501,
2023,江西,普通类,理科,外国语言文学类,2,497,497.50,498,
2023,江西,普通类,理科,土木类,5,493,493.60,494,
2023,江西,普通类,理科,图书情报与档案管理类,2,494,499.50,505,
2023,江西,普通类,理科,数学与应用数学,2,507,510.50,514,
2023,江西,普通类,理科,能源与动力工程,2,495,500.50,506,
2023,江西,普通类,理科,旅游管理,2,493,493.50,494,
2023,江西,普通类,理科,经济学类,2,498,500.00,502,
2023,江西,普通类,理科,金融学类,3,494,494.33,495,
2023,江西,普通类,理科,交通运输 (空管与签派),2,500,503.00,506,
2023,江西,普通类,理科,交通运输,2,500,501.50,503,
2023,江西,普通类,理科,计算机类,5,508,512.40,521,
2023,江西,普通类,理科,机械类,4,503,504.50,506,
2023,江西,普通类,理科,环境工程,2,493,496.50,500,
2023,江西,普通类,理科,航空航天工程,2,505,505.00,505,
2023,江西,普通类,理科,工业工程类,5,492,495.60,501,
2023,江西,普通类,理科,工商管理类,8,495,499.13,509,
2023,江西,普通类,理科,工程管理,2,493,493.00,493,
2023,江西,普通类,理科,飞行器设计与工程,4,503,506.50,510,
2023,江西,普通类,理科,飞行器动力工程,2,511,515.00,519,
2023,江西,普通类,理科,电子信息类,3,507,507.33,508,
2023,江西,普通类,理科,电气工程及其自动化,2,510,511.50,513,
2023,江西,普通类,理科,城乡规划,2,492,492.50,493,
2023,江西,普通类,理科,材料类,5,496,499.00,502,
2023,江西,艺术类,艺术综合,设计学类,8,523,524.50,527,美术类
2023,江西,艺术类,艺术综合,动画,2,525,525.50,526,美术类
2023,江西,艺术类,艺术综合,航空服务艺术与管理,20,246.36,252.29,268.84,校考成绩
2024,江西,普通类,历史类,中国语言文学类,4,525,528.00,530,
2024,江西,普通类,历史类,外国语言文学类,3,525,525.00,525,
2024,江西,普通类,历史类,图书情报与档案管理类,2,525,526.00,527,
2024,江西,普通类,物理类,自动化,3,517,521.00,524,
2024,江西,普通类,物理类,信息管理与信息系统,2,518,519.00,520,
2024,江西,普通类,物理类,物流管理与工程类,4,505,507.00,508,
2024,江西,普通类,物理类,外国语言文学类,2,506,506.00,506,
2024,江西,普通类,物理类,土木类,5,513,514.60,517,
