年份,省市,类型,科类,专业,录取人数,最低分,平均分,最高分,备注
2021,吉林,普通类,文科,外国语言文学类,2,447,453.00,459,
2021,吉林,普通类,文科,图书情报与档案管理类,2,449,450.00,451,
2021,吉林,普通类,文科,经济与贸易类,3,451,452.67,454,
2021,吉林,普通类,文科,金融学类,2,478,479.00,480,
2021,吉林,普通类,文科,工商管理类,2,470,476.50,483,
2021,吉林,普通类,理科,物流管理与工程类,2,415,421.00,427,
2021,吉林,普通类,理科,土木类,3,338,393.67,426,
2021,吉林,普通类,理科,数学与应用数学,2,407,421.00,435,
2021,吉林,普通类,理科,经济与贸易类,2,373,392.50,412,
2021,吉林,普通类,理科,金融学类,2,400,417.50,435,
2021,吉林,普通类,理科,交通运输,2,400,422.00,444,
2021,吉林,普通类,理科,计算机类,4,427,430.75,438,
2021,吉林,普通类,理科,机械类,2,417,420.50,424,
2021,吉林,普通类,理科,航空航天类,4,447,450.25,454,
2021,吉林,普通类,理科,工业工程类,2,416,419.50,423,
2021,吉林,普通类,理科,工商管理类,6,359,416.67,456,
2021,吉林,普通类,理科,工程管理,2,368,373.50,379,
2021,吉林,普通类,理科,电子信息类,2,427,434.50,442,
2021,吉林,普通类,理科,电气工程及其自动化,2,443,444.00,445,
2021,吉林,普通类,理科,材料类,4,367,385.25,405,
2021,吉林,艺术类,文科,设计学类,7,500.83,511.94,524.83,
2021,吉林,艺术类,文科,动画,2,511.23,514.63,518.03,
2021,吉林,艺术类,文科,航空服务艺术与管理,13,250.76,263.33,278.28,
2021,吉林,艺术类,理科,设计学类,2,493.63,505.33,517.03,
2021,吉林,艺术类,理科,动画,1,482.23,482.23,482.23,
2021,吉林,艺术类,理科,航空服务艺术与管理,7,251.48,262.52,277.52,
2021,吉林,中外合作办学,理科,自动化 (中外合作办学),2,356,359.00,362,
2021,吉林,中外合作办学,理科,质量管理工程 (中外合作办学),2,349,349.00,349,
2021,吉林,中外合作办学,理科,信息管理与信息系统 (中外合作办学),2,352,376.50,401,
2021,吉林,中外合作办学,理科,材料成型及控制工程 (中外合作办学),2,363,364.50,366,
2022,吉林,普通类,文科,中国语言文学类,3,472,474.00,478,
2022,吉林,普通类,文科,外国语言文学类,2,457,462.50,468,
2022,吉林,普通类,文科,图书情报与档案管理类,2,459,459.00,459,
2022,吉林,普通类,文科,经济与贸易类,2,459,461.50,464,
2022,吉林,普通类,文科,金融学类,2,458,465.00,472,
2022,吉林,普通类,文科,工商管理类,2,487,490.00,493,
2022,吉林,普通类,理科,物流管理与工程类,2,422,424.50,427,
2022,吉林,普通类,理科,土木类,2,410,410.00,410,
2022,吉林,普通类,理科,数学与应用数学,2,429,436.00,443,
2022,吉林,普通类,理科,经济与贸易类,2,421,442.00,463,
2022,吉林,普通类,理科,交通运输,2,426,434.00,442,
2022,吉林,普通类,理科,计算机类,2,463,467.00,471,
2022,吉林,普通类,理科,机械类,2,437,442.50,448,
2022,吉林,普通类,理科,工业工程类,2,411,412.00,413,
2022,吉林,普通类,理科,工商管理类,6,447,454.50,468,
2022,吉林,普通类,理科,工程管理,2,414,419.00,424,
2022,吉林,普通类,理科,飞行器动力工程,2,429,440.00,451,
2022,吉林,普通类,理科,电子信息类,2,459,459.50,460,
2022,吉林,普通类,理科,材料类,2,411,411.50,412,
2022,吉林,艺术类,理科,设计学类,2,542.04,546.14,550.24,美术类
2022,吉林,艺术类,理科,航空服务艺术与管理,4,236.24,240.14,244.84,校考成绩
2022,吉林,艺术类,文科,设计学类,7,545.63,550.06,559.83,美术类
2022,吉林,艺术类,文科,动画,2,544.04,545.54,547.03,美术类
2022,吉林,艺术类,文科,航空服务艺术与管理,11,231.52,242.34,252.04,校考成绩
2022,吉林,中外合作办学,理科,自动化 (中外合作办学),3,388,394.67,404,
2022,吉林,中外合作办学,理科,质量管理工程 (中外合作办学),3,391,392.33,395,
2022,吉林,中外合作办学,理科,信息管理与信息系统 (中外合作办学),3,396,400.67,405,
2022,吉林,中外合作办学,理科,材料成型及控制工程 (中外合作办学),3,386,387.67,390,
2023,吉林,普通类,理科,物流管理与工程类,2,414,414.00,414,
2023,吉林,普通类,理科,土木类,2,413,415.50,418,
2023,吉林,普通类,理科,数学与应用数学,2,413,419.00,425,
2023,吉林,普通类,理科,经济与贸易类,2,412,412.00,412,
2023,吉林,普通类,理科,交通运输,2,419,433.00,447,
2023,吉林,普通类,理科,计算机类,2,431,433.50,436,
2023,吉林,普通类,理科,机械类,2,424,425.50,427,
2023,吉林,普通类,理科,工业工程类,2,418,420.50,423,
2023,吉林,普通类,理科,工商管理类,5,411,415.60,422,
2023,吉林,普通类,理科,飞行器动力工程,2,428,433.50,439,
2023,吉林,普通类,理科,电子信息类,2,430,430.00,430,
2023,吉林,普通类,理科,材料类,2,414,414.50,415,
2023,吉林,普通类,文科,中国语言文学类,3,446,452.33,457,
2023,吉林,普通类,文科,外国语言文学类,2,439,439.50,440,
2023,吉林,普通类,文科,经济与贸易类,2,440,440.50,441,
2023,吉林,普通类,文科,金融学类,2,445,447.50,450,
2023,吉林,普通类,文科,工商管理类,2,441,441.50,442,
2023,吉林,艺术类,文科,设计学类,7,522,528.43,537,美术类
