年份,省市,类型,科类,专业,录取人数,最低分,平均分,最高分,备注
2021,辽宁,普通类,历史类,中国语言文学类,2,546,550.00,554,
2021,辽宁,普通类,历史类,外国语言文学类,2,543,543.50,544,
2021,辽宁,普通类,历史类,图书情报与档案管理类,2,528,532.00,536,
2021,辽宁,普通类,历史类,经济学类,2,533,538.00,543,
2021,辽宁,普通类,历史类,工商管理类,2,545,550.00,555,
2021,辽宁,普通类,历史类,法学,2,548,549.50,551,
2021,辽宁,普通类,物理类,物流管理与工程类,4,480,483.75,491,
2021,辽宁,普通类,物理类,土木类,4,482,484.25,488,
2021,辽宁,普通类,物理类,数学与应用数学,2,478,479.00,480,
2021,辽宁,普通类,物理类,金融学类,2,498,498.00,498,
2021,辽宁,普通类,物理类,计算机类,5,500,503.60,507,
2021,辽宁,普通类,物理类,机械类,4,494,494.75,497,
2021,辽宁,普通类,物理类,环境工程,2,485,488.50,492,
2021,辽宁,普通类,物理类,航空航天类,4,497,501.75,512,
2021,辽宁,普通类,物理类,工业工程类,4,487,495.75,507,
2021,辽宁,普通类,物理类,工商管理类,4,512,522.50,532,
2021,辽宁,普通类,物理类,工程管理,3,479,480.67,482,
2021,辽宁,普通类,物理类,电子信息类,4,493,495.25,499,
2021,辽宁,普通类,物理类,材料类,4,481,484.25,489,
2021,辽宁,艺术类,物理类,设计学类,2,390.5,402.20,413.9,
2021,辽宁,艺术类,物理类,动画,1,414,414.00,414,
2021,辽宁,艺术类,历史类,设计学类,7,423.9,426.10,432.2,
2021,辽宁,艺术类,历史类,动画,2,421.9,424.75,427.6,
2021,辽宁,中外合作办学,物理类,自动化 (中外合作办学),2,478,478.50,479,
2021,辽宁,中外合作办学,物理类,质量管理工程 (中外合作办学),2,443,462.00,481,
2021,辽宁,中外合作办学,物理类,信息管理与信息系统 (中外合作办学),2,443,448.50,454,
2021,辽宁,中外合作办学,物理类,材料成型及控制工程 (中外合作办学),2,403,417.00,431,
2022,辽宁,普通类,历史类,中国语言文学类,3,517,522.33,525,
2022,辽宁,普通类,历史类,外国语言文学类,2,513,513.00,513,
2022,辽宁,普通类,历史类,图书情报与档案管理类,2,505,505.00,505,
2022,辽宁,普通类,历史类,经济学类,2,514,514.50,515,
2022,辽宁,普通类,历史类,工商管理类,3,522,523.33,526,
2022,辽宁,普通类,历史类,法学,2,521,524.00,527,
2022,辽宁,普通类,物理类,物流管理与工程类,3,476,478.67,482,
2022,辽宁,普通类,物理类,无人驾驶航空器系统工程,2,495,496.50,498,
