年份,省市,类型,科类,专业,录取人数,最低分,平均分,最高分,备注
2021,内蒙古,普通类,文科,行政管理,2,463,463.00,463,
2021,内蒙古,普通类,文科,工商管理类,2,466,471.00,476,
2021,内蒙古,普通类,理科,自动化,2,408,409.50,411,
2021,内蒙古,普通类,理科,物流管理与工程类,2,381,392.00,403,
2021,内蒙古,普通类,理科,交通运输 (空管与签派),2,439,440.50,442,
2021,内蒙古,普通类,理科,交通运输,2,382,394.00,406,
2021,内蒙古,普通类,理科,计算机类,2,412,417.50,423,
2021,内蒙古,普通类,理科,机械类,3,408,410.33,412,
2021,内蒙古,普通类,理科,工商管理类,3,408,409.33,411,
2022,内蒙古,普通类,理科,物流管理与工程类,2,366,384.50,403,
2022,内蒙古,普通类,理科,交通运输,2,407,414.00,421,
2022,内蒙古,普通类,理科,计算机类,2,425,429.00,433,
2022,内蒙古,普通类,理科,机械类,3,395,400.33,403,
2022,内蒙古,普通类,理科,工商管理类,3,417,421.00,425,
2022,内蒙古,普通类,理科,电子信息类,2,413,414.00,415,
2022,内蒙古,普通类,文科,中国语言文学类,2,444,446.50,449,
2022,内蒙古,普通类,文科,金融学类,2,438,438.50,439,
2022,内蒙古,普通类,文科,工商管理类,2,449,449.50,450,
2023,内蒙古,普通类,文科,中国语言文学类,2,467,469.00,471,
2023,内蒙古,普通类,文科,金融学类,2,433,448.50,464,
2023,内蒙古,普通类,文科,工商管理类,2,473,474.50,476,
2023,内蒙古,普通类,理科,物流管理与工程类,2,414,414.50,415,
2023,内蒙古,普通类,理科,交通运输,2,406,414.50,423,
2023,内蒙古,普通类,理科,计算机类,2,436,436.50,437,
2023,内蒙古,普通类,理科,机械类,3,423,427.67,434,
2023,内蒙古,普通类,理科,工商管理类,3,421,428.33,432,
2023,内蒙古,普通类,理科,电子信息类,2,430,437.50,445,
2024,内蒙古,普通类,文科,中国语言文学类,2,455,462.50,470,
2024,内蒙古,普通类,文科,金融学类,2,454,462.00,470,
2024,内蒙古,普通类,文科,工商管理类,2,451,452.00,453,
2024,内蒙古,普通类,理科,物流管理与工程类,2,401,416.50,432,
2024,内蒙古,普通类,理科,交通运输,2,460,467.00,474,
2024,内蒙古,普通类,理科,计算机类,2,452,452.50,453,
2024,内蒙古,普通类,理科,机械设计制造及其自动化,2,464,464.50,465,
2024,内蒙古,普通类,理科,工商管理类,2,429,446.50,464,
2024,内蒙古,普通类,理科,电子信息类,2,450,450.50,451,
2024,内蒙古,普通类,理科,车辆工程,2,447,448.00,449,
2025,内蒙古,普通类,文 / 历史,中国语言文学类,2,523,524.5,526,
2025,内蒙古,普通类,文 / 历史,外国语言文学类,2,517,517,517,
2025,内蒙古,普通类,文 / 历史,国际经济与贸易,2,516,516.5,517,
2025,内蒙古,普通类,理 / 物理,审计学,2,498,500.5,503,
2025,内蒙古,普通类,理 / 物理,经济统计学,2,493,493.5,494,
2025,内蒙古,普通类,理 / 物理,计算机类,2,514,516.5,519,
2025,内蒙古,普通类,理 / 物理,机械设计制造及其自动化,2,519,529,539,
2025,内蒙古,普通类,理 / 物理,工商管理,2,492,495,498,
2025,内蒙古,普通类,理 / 物理,电子信息类,2,516,517.5,519,
2025,内蒙古,普通类,理 / 物理,车辆工程,2,515,515,515,
