年份,省市,类型,科类,专业,录取人数,最低分,平均分,最高分,备注
2021,宁夏,普通类,文科,行政管理,2,488,490.50,493,
2021,宁夏,普通类,文科,法学,2,491,491.00,491,
2021,宁夏,普通类,理科,数学与应用数学,2,391,393.00,395,
2021,宁夏,普通类,理科,计算机类,2,390,391.50,393,
2021,宁夏,普通类,理科,工商管理类,2,393,395.50,398,
2022,宁夏,普通类,理科,数学与应用数学,2,399,401.50,404,
2022,宁夏,普通类,理科,计算机类,2,406,408.00,410,
2022,宁夏,普通类,理科,工商管理类,2,396,397.00,398,
2022,宁夏,普通类,文科,外国语言文学类,2,475,476.00,477,
2022,宁夏,普通类,文科,法学,2,477,479.50,482,
2023,宁夏,普通类,文科,外国语言文学类,2,476,477.00,478,
2023,宁夏,普通类,文科,法学,2,480,484.50,489,
2023,宁夏,普通类,理科,数学与应用数学,2,386,387.00,388,
2023,宁夏,普通类,理科,计算机类,2,388,389.00,390,
2023,宁夏,普通类,理科,工商管理类,2,391,392.00,393,
2024,宁夏,普通类,文科,外国语言文学类,2,431,456.00,481,
2024,宁夏,普通类,文科,法学,2,445,457.50,470,
2024,宁夏,普通类,理科,数学与应用数学,2,417,417.50,418,
2024,宁夏,普通类,理科,计算机类,2,421,429.50,438,
2024,宁夏,普通类,理科,工商管理类,2,420,424.50,429,
2025,宁夏,普通类,文 / 历史,外国语言文学类,2,470,470.5,471,
2025,宁夏,普通类,文 / 历史,法学,2,472,473,474,
2025,宁夏,普通类,理 / 物理,市场营销,2,421,421,421,
2025,宁夏,普通类,理 / 物理,会计学,2,435,447,459,
2025,宁夏,普通类,理 / 物理,财务管理,2,423,425,427,
