年份,省市,类型,科类,专业,录取人数,最低分,平均分,最高分,备注
2022,青海,普通类,文科,中国语言文学类,2,421,423.00,425,
2022,青海,普通类,文科,广告学,2,413,413.50,414,
2022,青海,普通类,文科,工商管理类,2,413,413.00,413,
2022,青海,普通类,理科,计算机类,2,355,357.00,359,
2022,青海,普通类,理科,工商管理类,2,354,371.50,389,
2023,青海,普通类,理科,计算机类,2,359,359.00,359,
2023,青海,普通类,理科,工商管理类,2,358,362.00,366,
2023,青海,普通类,文科,中国语言文学类,2,422,428.00,434,
2023,青海,普通类,文科,广告学,2,416,416.50,417,
2023,青海,普通类,文科,工商管理类,2,417,417.50,418,
2024,青海,普通类,文科,中国语言文学类,2,431,432.00,433,
2024,青海,普通类,文科,工商管理类,2,437,452.50,468,
2024,青海,普通类,理科,计算机类,2,386,388.00,390,
2024,青海,普通类,理科,工商管理类,2,382,384.00,386,
2024,青海,普通类,理科,大数据管理与应用,2,382,382.50,383,
2025,青海,普通类,文 / 历史,中国语言文学类,2,448,449,450,
2025,青海,普通类,文 / 历史,贸易经济,2,427,428.5,430,
2025,青海,普通类,理 / 物理,市场营销,2,380,381.5,383,
2025,青海,普通类,理 / 物理,会计学,2,428,437.5,447,
2025,青海,普通类,理 / 物理,工商管理,2,400,411,422,
