年份,省市,类型,科类,专业,录取人数,最低分,平均分,最高分,备注
2021,山东,普通类,综合改革,信息管理与信息系统,5,481,488.20,496,
2021,山东,普通类,综合改革,物流管理与工程类,2,496,497.00,498,
2021,山东,普通类,综合改革,外国语言文学类,2,504,504.00,504,
2021,山东,普通类,综合改革,土木类,2,496,496.00,496,
2021,山东,普通类,综合改革,数学与应用数学,2,496,497.00,498,
2021,山东,普通类,综合改革,交通运输 (空管与签派),6,485,495.83,505,
2021,山东,普通类,综合改革,交通运输,2,500,500.50,501,
2021,山东,普通类,综合改革,计算机类,14,493,501.57,507,
2021,山东,普通类,综合改革,机械类,8,477,488.00,497,
2021,山东,普通类,综合改革,航空航天类,13,477,492.85,519,
2021,山东,普通类,综合改革,工业工程类,7,485,495.43,518,
2021,山东,普通类,综合改革,工商管理类,10,496,510.90,563,
2021,山东,普通类,综合改革,工程管理,2,491,491.50,492,
2021,山东,普通类,综合改革,电子信息类,9,481,494.22,502,
2021,山东,普通类,综合改革,电气工程及其自动化,2,499,499.00,499,
2021,山东,普通类,综合改革,材料类,5,487,487.60,488,
2021,山东,普通类,综合改革,安全工程,7,478,483.43,489,
2021,山东,艺术类,艺术综合,环境设计 (中外合作办学),7,517.3,520.36,525.7,
2021,山东,艺术类,艺术综合,产品设计 (中外合作办学),7,515.45,518.76,526.9,
2021,山东,艺术类,艺术综合,航空服务艺术与管理,51,232.24,247.57,270,
2021,山东,中外合作办学,综合改革,飞行器设计与工程 (中外合作办学),6,479,483.17,489,
2022,山东,普通类,综合改革,中国语言文学类,4,499,500.75,504,
2022,山东,普通类,综合改革,信息管理与信息系统,2,495,496.50,498,
2022,山东,普通类,综合改革,物流管理与工程类,3,493,495.00,498,
2022,山东,普通类,综合改革,无人驾驶航空器系统工程,2,491,495.50,500,
2022,山东,普通类,综合改革,外国语言文学类,2,501,505.00,509,
2022,山东,普通类,综合改革,土木类,2,491,491.50,492,
2022,山东,普通类,综合改革,数学与应用数学,2,496,497.50,499,
2022,山东,普通类,综合改革,人工智能,3,499,500.67,502,
2022,山东,普通类,综合改革,金融学类,6,494,506.33,526,
2022,山东,普通类,综合改革,计算机类,2,503,503.50,504,
2022,山东,普通类,综合改革,机械类,4,494,494.50,496,
2022,山东,普通类,综合改革,工业工程类,3,492,493.67,497,
2022,山东,普通类,综合改革,工商管理类,8,504,505.13,507,
2022,山东,普通类,综合改革,工程管理,2,487,492.00,497,
2022,山东,普通类,综合改革,飞行器质量与可靠性,4,495,520.75,573,
2022,山东,普通类,综合改革,电子信息类,2,501,501.00,501,
2022,山东,普通类,综合改革,电气工程及其自动化,2,501,502.00,503,
2022,山东,普通类,综合改革,材料类,2,486,486.50,487,
2022,山东,普通类,综合改革,安全工程,6,491,502.17,528,
2022,山东,艺术类,艺术综合,环境设计 (中外合作办学),7,528.15,530.94,534.05,美术类
2022,山东,艺术类,艺术综合,产品设计 (中外合作办学),7,524.45,526.28,530.55,美术类
2022,山东,艺术类,艺术综合,航空服务艺术与管理,42,241.36,251.46,271.52,校考成绩
2022,山东,中外合作办学,综合改革,飞行器设计与工程 (中外合作办学),6,473,477.67,488,
2022,山东,中外合作办学,综合改革,自动化 (中外合作办学),3,480,481.33,483,
2022,山东,中外合作办学,综合改革,质量管理工程 (中外合作办学),3,474,474.33,475,
2022,山东,中外合作办学,综合改革,信息管理与信息系统 (中外合作办学),3,472,478.67,488,
2022,山东,中外合作办学,综合改革,材料成型及控制工程 (中外合作办学),3,469,469.00,469,
2023,山东,普通类,综合改革,中国语言文学类,4,511,511.25,512,
2023,山东,普通类,综合改革,信息管理与信息系统,2,505,505.50,506,
2023,山东,普通类,综合改革,物流管理与工程类,3,496,498.00,500,
2023,山东,普通类,综合改革,无人驾驶航空器系统工程,2,506,507.50,509,
2023,山东,普通类,综合改革,外国语言文学类,2,501,502.50,504,
2023,山东,普通类,综合改革,土木类,4,492,492.75,494,
2023,山东,普通类,综合改革,数学与应用数学,2,507,514.50,522,
2023,山东,普通类,综合改革,人工智能,2,512,512.00,512,
2023,山东,普通类,综合改革,能源与动力工程,2,501,501.50,502,
2023,山东,普通类,综合改革,金融学类,3,502,504.00,507,
2023,山东,普通类,综合改革,计算机类,2,516,516.50,517,
2023,山东,普通类,综合改革,机械类,4,509,510.25,512,
2023,山东,普通类,综合改革,航空航天工程,2,511,513.50,516,
2023,山东,普通类,综合改革,工业工程类,2,503,508.00,513,
2023,山东,普通类,综合改革,工商管理类,8,514,518.00,529,
2023,山东,普通类,综合改革,工程管理,2,495,495.00,495,
2023,山东,普通类,综合改革,飞行器质量与可靠性,2,509,511.00,513,
2023,山东,普通类,综合改革,电子信息类,2,515,515.00,515,
2023,山东,普通类,综合改革,电气工程及其自动化,2,519,523.00,527,
2023,山东,普通类,综合改革,大数据管理与应用,2,496,499.50,503,
2023,山东,普通类,综合改革,材料类,2,495,497.50,500,
2023,山东,普通类,综合改革,安全工程,2,502,504.50,507,
2023,山东,艺术类,艺术综合,环境设计 (中外合作办学),7,534.75,535.98,536.65,美术类
2023,山东,艺术类,艺术综合,产品设计 (中外合作办学),7,532.85,535.26,536.7,美术类
2023,山东,艺术类,艺术综合,航空服务艺术与管理,40,439.12,454.36,491.69,省航艺统考成绩
2023,山东,中外合作办学,综合改革,飞行器设计与工程 (中外合作办学),7,481,482.57,487,
2023,山东,中外合作办学,综合改革,自动化 (中外合作办学),4,488,489.25,491,
2023,山东,中外合作办学,综合改革,质量管理工程 (中外合作办学),4,481,483.50,486,
2023,山东,中外合作办学,综合改革,信息管理与信息系统 (中外合作办学),4,479,480.50,482,
2023,山东,中外合作办学,综合改革,材料成型及控制工程 (中外合作办学),4,478,478.25,479,
2024,山东,普通类,综合改革,中国语言文学类,4,524,529.75,541,
2024,山东,普通类,综合改革,信息管理与信息系统,2,517,517.00,517,
2024,山东,普通类,综合改革,无人驾驶航空器系统工程,2,512,514.50,517,
2024,山东,普通类,综合改革,外国语言文学类,2,513,518.00,523,
2024,山东,普通类,综合改革,土木类,4,466,468.25,471,
2024,山东,普通类,综合改革,数学与应用数学,2,504,508.50,513,
2024,山东,普通类,综合改革,人工智能,2,512,513.00,514,
2024,山东,普通类,综合改革,能源与动力工程,2,504,505.00,506,
2024,山东,普通类,综合改革,金融学类,2,511,511.50,512,
2024,山东,普通类,综合改革,计算机类,3,514,515.33,516,
2024,山东,普通类,综合改革,机械设计制造及其自动化,2,510,510.50,511,
2024,山东,普通类,综合改革,航空航天工程,2,526,528.50,531,
2024,山东,普通类,综合改革,工业设计,2,499,501.00,503,
2024,山东,普通类,综合改革,工商管理类,6,518,520.50,526,
2024,山东,普通类,综合改革,工程管理,2,506,507.50,509,
2024,山东,普通类,综合改革,飞行器质量与可靠性,2,519,521.50,524,
2024,山东,普通类,综合改革,电子信息类,3,516,517.33,519,
2024,山东,普通类,综合改革,电气工程及其自动化,2,520,531.50,543,
2024,山东,普通类,综合改革,大数据管理与应用,2,512,512.50,513,
2024,山东,普通类,综合改革,车辆工程,3,508,508.00,508,
2024,山东,普通类,综合改革,材料类,2,488,488.50,489,
2024,山东,艺术类,艺术综合,环境设计 (中外合作办学),7,482.25,484.11,486.75,
2024,山东,艺术类,艺术综合,产品设计 (中外合作办学),7,486,488.64,492,
2024,山东,艺术类,艺术综合,航空服务艺术与管理,45,496,498.38,507,
2024,山东,中外合作办学,综合改革,飞行器设计与工程 (中外合作办学),7,476,482.00,494,
2024,山东,中外合作办学,综合改革,自动化 (中外合作办学),4,466,469.00,474,
2024,山东,中外合作办学,综合改革,质量管理工程 (中外合作办学),4,491,492.25,495,
2024,山东,中外合作办学,综合改革,信息管理与信息系统 (中外合作办学),4,493,493.75,495,
2024,山东,中外合作办学,综合改革,材料成型及控制工程 (中外合作办学),4,460,463.25,468,
2025,山东,普通类,综合改革,中国语言文学类,4,524,524.5,525,
2025,山东,普通类,综合改革,信息管理与信息系统,2,517,517.5,518,
2025,山东,普通类,综合改革,土木工程,4,472,477,484,
2025,山东,普通类,综合改革,数学与应用数学,2,505,509,513,
2025,山东,普通类,综合改革,市场营销,2,487,494,501,
2025,山东,普通类,综合改革,人工智能,2,516,516.5,517,
2025,山东,普通类,综合改革,能源与动力工程,2,518,518,518,
2025,山东,普通类,综合改革,经济统计学,2,496,499.5,503,
2025,山东,普通类,综合改革,金融学,2,501,506.5,512,
2025,山东,普通类,综合改革,交通运输 (空管与签派方向),2,527,532,537,
2025,山东,普通类,综合改革,计算机类,4,519,521.5,524,
2025,山东,普通类,综合改革,机械设计制造及其自动化,2,527,528.5,530,
2025,山东,普通类,综合改革,会计学,2,524,524,524,
2025,山东,普通类,综合改革,航空航天工程,2,531,533.5,536,
2025,山东,普通类,综合改革,工业设计,2,508,509.5,511,
2025,山东,普通类,综合改革,工程管理,2,504,505.5,507,
2025,山东,普通类,综合改革,飞行器质量与可靠性,2,528,529,530,
2025,山东,普通类,综合改革,电子信息类,3,525,525,525,
2025,山东,普通类,综合改革,大数据管理与应用,2,513,514,515,
2025,山东,普通类,综合改革,车辆工程,3,514,517.33,524,
2025,山东,普通类,综合改革,材料类,5,492,497.6,505,
2025,山东,艺术类,艺术综合,环境设计 (中外合作办学),6,477.25,478.54,479.75,
2025,山东,艺术类,艺术综合,航空服务艺术与管理,47,489,491.19,503.775,
2025,山东,艺术类,艺术综合,产品设计 (中外合作办学),6,480.25,481.5,483.25,
2025,山东,中外合作办学,综合改革,自动化 (中外合作办学),4,484,485.75,489,
2025,山东,中外合作办学,综合改革,质量管理工程 (中外合作办学),4,467,471.25,481,
2025,山东,中外合作办学,综合改革,信息管理与信息系统 (中外合作办学),4,477,480.5,484,
2025,山东,中外合作办学,综合改革,飞行器设计与工程 (中外合作办学),7,491,495.86,502,
2025,山东,中外合作办学,综合改革,材料成型及控制工程 (中外合作办学),4,474,478.25,483,
