年份,省市,类型,科类,专业,录取人数,最低分,平均分,最高分,备注
2021,上海,普通类,综合改革,外国语言文学类,3,419,424.67,428,
2021,上海,普通类,综合改革,经济与贸易类,3,420,422.67,425,
2021,上海,普通类,综合改革,经济学类,3,421,424.67,430,
2021,上海,普通类,综合改革,金融学类,3,423,426.67,433,
2021,上海,普通类,综合改革,广告学,2,418,420.00,422,
2021,上海,普通类,综合改革,工商管理类,8,418,421.00,431,
2021,上海,普通类,综合改革,法学,2,426,432.50,439,
2022,上海,普通类,综合改革,外国语言文学类,3,405,406.00,408,
2022,上海,普通类,综合改革,经济与贸易类,2,405,410.50,416,
2022,上海,普通类,综合改革,经济学类,3,406,411.67,418,
2022,上海,普通类,综合改革,金融学类,3,407,410.00,415,
2022,上海,普通类,综合改革,广告学,2,429,430.50,432,
2022,上海,普通类,综合改革,工商管理类,8,407,417.13,430,
2022,上海,普通类,综合改革,法学,3,406,415.67,426,
2023,上海,普通类,综合改革,外国语言文学类,2,427,427.00,427,
2023,上海,普通类,综合改革,经济与贸易类,3,427,428.00,429,
2023,上海,普通类,综合改革,经济学类,2,430,432.00,434,
2023,上海,普通类,综合改革,金融学类,4,428,432.00,442,
2023,上海,普通类,综合改革,广告学,3,427,427.00,427,
2023,上海,普通类,综合改革,工商管理类,8,430,435.50,443,
2023,上海,普通类,综合改革,法学,2,440,446.50,453,
2024,上海,普通类,综合改革,外国语言文学类,2,429,429.00,429,
2024,上海,普通类,综合改革,经济与贸易类,2,430,434.50,439,
2024,上海,普通类,综合改革,经济学类,2,431,433.50,436,
2024,上海,普通类,综合改革,金融学类,4,426,426.75,428,
2024,上海,普通类,综合改革,工商管理类,6,422,425.83,431,
2024,上海,普通类,综合改革,法学,2,428,428.50,429,
2024,上海,艺术类,艺术综合,环境设计 (中外合作办学),3,446.42,446.80,447.1,
2024,上海,艺术类,艺术综合,产品设计 (中外合作办学),3,447.76,449.57,452.46,
2025,上海,普通类,综合改革,审计学,2,432,432,432,
2025,上海,普通类,综合改革,人力资源管理,2,429,432,435,
2025,上海,普通类,综合改革,经济学,2,429,429.5,430,
2025,上海,普通类,综合改革,经济统计学,2,430,430.5,431,
2025,上海,普通类,综合改革,金融学,2,430,433,436,
2025,上海,普通类,综合改革,金融科技,2,430,432.5,435,
2025,上海,普通类,综合改革,会计学 (注册会计师方向),2,439,459,479,
2025,上海,普通类,综合改革,财务管理,2,432,434,436,
2025,上海,艺术类,艺术综合,环境设计 (中外合作办学),4,453.25,454.97,458.08,
2025,上海,艺术类,艺术综合,产品设计 (中外合作办学),4,458.86,459.17,459.36,
