年份,省市,类型,科类,专业,录取人数,最低分,平均分,最高分,备注
2021,山西,普通类,文科,中国语言文学类,2,531,533.00,535,
2021,山西,普通类,文科,行政管理,2,530,530.50,531,
2021,山西,普通类,文科,外国语言文学类,3,529,529.33,530,
2021,山西,普通类,文科,图书情报与档案管理类,2,529,529.00,529,
2021,山西,普通类,文科,旅游管理,2,529,529.00,529,
2021,山西,普通类,文科,经济与贸易类,3,529,529.33,530,
2021,山西,普通类,文科,经济学类,2,530,530.50,531,
2021,山西,普通类,文科,金融学类,2,531,534.50,538,
2021,山西,普通类,文科,工商管理类,2,538,538.50,539,
2021,山西,普通类,文科,法学,2,536,536.50,537,
2021,山西,普通类,理科,自动化,2,480,481.00,482,
2021,山西,普通类,理科,行政管理,2,476,477.00,478,
2021,山西,普通类,理科,信息管理与信息系统,2,478,478.50,479,
2021,山西,普通类,理科,物流管理与工程类,7,475,478.14,480,
2021,山西,普通类,理科,外国语言文学类,2,482,483.00,484,
2021,山西,普通类,理科,土木类,10,476,477.10,479,
2021,山西,普通类,理科,图书情报与档案管理类,2,480,480.50,481,
2021,山西,普通类,理科,数学与应用数学,3,480,480.33,481,
2021,山西,普通类,理科,经济与贸易类,4,477,477.50,478,
2021,山西,普通类,理科,经济学类,4,479,480.25,482,
2021,山西,普通类,理科,金融学类,6,479,481.00,485,
2021,山西,普通类,理科,交通运输 (空管与签派),3,480,480.33,481,
2021,山西,普通类,理科,交通运输,2,479,479.00,479,
2021,山西,普通类,理科,计算机类,8,482,485.88,490,
2021,山西,普通类,理科,机械类,9,478,479.22,482,
2021,山西,普通类,理科,环境工程,3,476,477.00,478,
2021,山西,普通类,理科,航空航天类,10,482,487.60,495,
2021,山西,普通类,理科,广告学,2,481,483.00,485,
2021,山西,普通类,理科,工业工程类,4,476,481.75,493,
2021,山西,普通类,理科,工商管理类,9,484,489.00,498,
2021,山西,普通类,理科,工程管理,5,476,476.60,477,
2021,山西,普通类,理科,法语,3,478,480.67,483,
2021,山西,普通类,理科,法学,3,479,482.67,489,
2021,山西,普通类,理科,电子信息类,4,481,483.75,488,
2021,山西,普通类,理科,电气工程及其自动化,3,485,486.33,487,
2021,山西,普通类,理科,城乡规划,3,476,476.00,476,
2021,山西,普通类,理科,材料类,12,470,476.25,480,
2021,山西,普通类,理科,安全工程,4,477,477.75,479,
2021,山西,艺术类,艺术综合,环境设计 (中外合作办学),7,550.4,588.49,611.4,
2021,山西,艺术类,艺术综合,产品设计 (中外合作办学),7,529.4,588.06,630.2,
2021,山西,艺术类,艺术综合,航空服务艺术与管理,4,271.36,272.60,273.56,
2022,山西,普通类,理科,自动化,3,483,484.00,485,
2022,山西,普通类,理科,行政管理,2,474,475.50,477,
2022,山西,普通类,理科,信息管理与信息系统,3,481,481.00,481,
2022,山西,普通类,理科,物流管理与工程类,4,471,473.75,479,
2022,山西,普通类,理科,无人驾驶航空器系统工程,3,478,480.33,484,
2022,山西,普通类,理科,外国语言文学类,5,470,474.40,481,
2022,山西,普通类,理科,土木类,6,472,476.33,481,
2022,山西,普通类,理科,图书情报与档案管理类,3,471,473.00,476,
2022,山西,普通类,理科,数学与应用数学,3,474,476.33,480,
2022,山西,普通类,理科,经济与贸易类,4,475,477.50,482,
2022,山西,普通类,理科,经济学类,4,483,483.50,484,
2022,山西,普通类,理科,金融学类,6,478,480.50,484,
2022,山西,普通类,理科,交通运输 (空管与签派),2,485,488.00,491,
2022,山西,普通类,理科,交通运输,3,479,480.67,483,
2022,山西,普通类,理科,计算机类,4,486,487.25,491,
2022,山西,普通类,理科,机械类,6,480,480.67,482,
2022,山西,普通类,理科,环境工程,3,469,474.67,478,
2022,山西,普通类,理科,广告学,3,473,476.67,482,
2022,山西,普通类,理科,工业工程类,5,475,477.60,483,
2022,山西,普通类,理科,工商管理类,9,485,487.89,493,
2022,山西,普通类,理科,工程管理,3,473,477.33,481,
2022,山西,普通类,理科,飞行器质量与可靠性,3,478,479.33,481,
2022,山西,普通类,理科,飞行器设计与工程,3,480,482.33,486,
2022,山西,普通类,理科,法语,3,470,476.33,484,
2022,山西,普通类,理科,电子信息类,5,482,483.60,486,
2022,山西,普通类,理科,电气工程及其自动化,3,486,486.00,486,
2022,山西,普通类,理科,城乡规划,3,472,473.00,474,
2022,山西,普通类,理科,材料类,6,469,475.33,486,
2022,山西,普通类,理科,安全工程,4,474,476.50,478,
2022,山西,普通类,文科,中国语言文学类,3,507,507.33,508,
2022,山西,普通类,文科,行政管理,2,497,502.00,507,
2022,山西,普通类,文科,外国语言文学类,4,492,501.25,507,
2022,山西,普通类,文科,图书情报与档案管理类,2,502,506.00,510,
2022,山西,普通类,文科,旅游管理,2,482,486.50,491,
2022,山西,普通类,文科,经济与贸易类,2,508,508.50,509,
2022,山西,普通类,文科,金融学类,2,512,512.50,513,
2022,山西,普通类,文科,广告学,2,504,504.50,505,
2022,山西,普通类,文科,工商管理类,2,516,516.50,517,
2022,山西,普通类,文科,法学,2,510,511.50,513,
2022,山西,艺术类,艺术综合,环境设计 (中外合作办学),7,579.8,593.37,614.6,美术类
2022,山西,艺术类,艺术综合,产品设计 (中外合作办学),7,582.6,587.26,601.4,美术类
2022,山西,艺术类,艺术综合,航空服务艺术与管理,2,246.16,250.02,253.88,校考成绩
2023,山西,普通类,理科,自动化,3,456,457.67,460,
2023,山西,普通类,理科,信息管理与信息系统,2,445,446.00,447,
2023,山西,普通类,理科,物流管理与工程类,5,412,426.60,454,
2023,山西,普通类,理科,无人驾驶航空器系统工程,3,455,461.67,466,
2023,山西,普通类,理科,外国语言文学类,2,418,432.00,446,
2023,山西,普通类,理科,土木类,8,424,435.38,453,
2023,山西,普通类,理科,图书情报与档案管理类,2,412,413.50,415,
2023,山西,普通类,理科,数学与应用数学,3,449,453.00,459,
2023,山西,普通类,理科,能源与动力工程,2,455,459.00,463,
2023,山西,普通类,理科,经济与贸易类,2,424,424.50,425,
2023,山西,普通类,理科,经济学类,2,452,453.00,454,
2023,山西,普通类,理科,金融学类,3,413,439.67,459,
2023,山西,普通类,理科,交通运输 (空管与签派),3,473,479.67,488,
2023,山西,普通类,理科,交通运输,3,451,456.67,463,
2023,山西,普通类,理科,计算机类,5,462,471.80,488,
2023,山西,普通类,理科,机械类,6,447,459.33,470,
2023,山西,普通类,理科,环境工程,4,419,422.75,426,
2023,山西,普通类,理科,广告学,2,413,422.50,432,
2023,山西,普通类,理科,工业工程类,5,429,443.80,457,
2023,山西,普通类,理科,工商管理类,9,420,447.33,468,
2023,山西,普通类,理科,工程管理,5,424,440.80,460,
2023,山西,普通类,理科,飞行器质量与可靠性,3,469,470.67,472,
2023,山西,普通类,理科,飞行器设计与工程,5,473,474.60,478,
2023,山西,普通类,理科,法语,3,421,428.33,443,
2023,山西,普通类,理科,法学,2,440,449.00,458,
2023,山西,普通类,理科,电子信息类,4,458,466.75,476,
2023,山西,普通类,理科,电气工程及其自动化,2,478,478.50,479,
2023,山西,普通类,理科,大数据管理与应用,2,453,454.50,456,
2023,山西,普通类,理科,城乡规划,3,419,419.33,420,
2023,山西,普通类,理科,材料类,6,427,439.83,461,
2023,山西,普通类,理科,安全工程,4,442,452.50,469,
2023,山西,普通类,文科,中国语言文学类,4,462,471.25,481,
2023,山西,普通类,文科,行政管理,2,455,462.00,469,
2023,山西,普通类,文科,外国语言文学类,3,455,458.67,463,
2023,山西,普通类,文科,图书情报与档案管理类,2,456,461.50,467,
2023,山西,普通类,文科,旅游管理,2,454,457.00,460,
2023,山西,普通类,文科,经济与贸易类,2,459,459.50,460,
2023,山西,普通类,文科,金融学类,2,460,466.50,473,
2023,山西,普通类,文科,广告学,2,452,452.50,453,
2023,山西,普通类,文科,工商管理类,3,461,469.00,483,
2023,山西,普通类,文科,法语,2,457,461.00,465,
2023,山西,普通类,文科,法学,2,489,493.00,497,
2023,山西,艺术类,艺术综合,环境设计 (中外合作办学),7,515.6,548.34,562.6,美术类
2023,山西,艺术类,艺术综合,产品设计 (中外合作办学),7,541,558.69,576.8,美术类
2023,山西,艺术类,艺术综合,航空服务艺术与管理,2,251.44,254.50,257.56,校考成绩
2024,山西,普通类,理科,自动化,3,499,499.33,500,
2024,山西,普通类,理科,信息管理与信息系统,2,494,494.50,495,
2024,山西,普通类,理科,物流管理与工程类,4,492,494.75,497,
2024,山西,普通类,理科,无人驾驶航空器系统工程,3,499,500.33,502,
2024,山西,普通类,理科,外国语言文学类,2,492,493.50,495,
2024,山西,普通类,理科,土木类,5,492,492.40,493,
2024,山西,普通类,理科,图书情报与档案管理类,2,492,492.50,493,
2024,山西,普通类,理科,数学与应用数学,3,492,494.00,497,
2024,山西,普通类,理科,能源与动力工程,2,499,500.50,502,
2024,山西,普通类,理科,经济与贸易类,2,494,494.00,494,
2024,山西,普通类,理科,经济学类,2,495,495.50,496,
2024,山西,普通类,理科,金融学类,3,493,493.33,494,
2024,山西,普通类,理科,交通运输 (空管与签派),3,502,502.67,503,
2024,山西,普通类,理科,交通运输,2,498,498.50,499,
2024,山西,普通类,理科,计算机类,3,500,502.33,506,
2024,山西,普通类,理科,机械设计制造及其自动化,3,501,501.00,501,
2024,山西,普通类,理科,工业设计,2,494,494.00,494,
2024,山西,普通类,理科,工业工程类,4,492,493.25,494,
2024,山西,普通类,理科,工商管理类,14,475,488.50,497,
2024,山西,普通类,理科,工程管理,3,480,488.00,494,
2024,山西,普通类,理科,飞行器质量与可靠性,2,501,501.50,502,
2024,山西,普通类,理科,飞行器设计与工程,3,504,505.00,506,
