年份,省市,类型,科类,专业,录取人数,最低分,平均分,最高分,备注
2021,陕西,普通类,文科,中国语言文学类,2,488,489.50,491,
2021,陕西,普通类,文科,外国语言文学类,3,487,487.33,488,
2021,陕西,普通类,文科,图书情报与档案管理类,2,487,490.00,493,
2021,陕西,普通类,文科,旅游管理,2,487,488.50,490,
2021,陕西,普通类,文科,金融学类,2,491,491.50,492,
2021,陕西,普通类,文科,广告学,2,485,486.00,487,
2021,陕西,普通类,文科,工商管理类,2,495,498.00,501,
2021,陕西,普通类,文科,法语,2,489,489.50,490,
2021,陕西,普通类,文科,法学,2,488,489.00,490,
2021,陕西,普通类,理科,自动化,2,429,429.00,429,
2021,陕西,普通类,理科,信息管理与信息系统,2,426,427.00,428,
2021,陕西,普通类,理科,物流管理与工程类,5,403,415.60,425,
2021,陕西,普通类,理科,外国语言文学类,2,425,426.00,427,
2021,陕西,普通类,理科,土木类,7,423,424.00,425,
2021,陕西,普通类,理科,数学与应用数学,3,423,425.33,428,
2021,陕西,普通类,理科,经济与贸易类,2,423,426.50,430,
2021,陕西,普通类,理科,经济学类,2,429,430.00,431,
2021,陕西,普通类,理科,金融学类,6,423,426.17,430,
2021,陕西,普通类,理科,交通运输 (空管与签派),2,428,430.00,432,
2021,陕西,普通类,理科,交通运输,2,424,425.50,427,
2021,陕西,普通类,理科,计算机类,12,430,435.58,443,
2021,陕西,普通类,理科,机械类,8,427,430.63,436,
2021,陕西,普通类,理科,环境工程,3,425,426.33,427,
2021,陕西,普通类,理科,航空航天类,9,431,434.56,442,
2021,陕西,普通类,理科,工业工程类,3,428,429.00,430,
2021,陕西,普通类,理科,工商管理类,8,431,434.50,442,
2021,陕西,普通类,理科,工程管理,5,426,428.20,433,
2021,陕西,普通类,理科,电子信息类,5,429,430.20,432,
2021,陕西,普通类,理科,电气工程及其自动化,3,434,436.00,437,
2021,陕西,普通类,理科,材料类,6,426,427.17,429,
2021,陕西,普通类,理科,安全工程,3,427,429.67,435,
2021,陕西,艺术类,理科,环境设计 (中外合作办学),1,217,217.00,217,
2021,陕西,艺术类,理科,产品设计 (中外合作办学),1,214,214.00,214,
2021,陕西,艺术类,理科,航空服务艺术与管理,1,246,246.00,246,
2021,陕西,艺术类,文科,环境设计 (中外合作办学),4,220,223.00,227,
2021,陕西,艺术类,文科,产品设计 (中外合作办学),4,222,222.25,223,
2021,陕西,艺术类,文科,航空服务艺术与管理,2,259.72,265.46,271.2,
2022,陕西,普通类,文科,中国语言文学类,4,476,477.75,482,
2022,陕西,普通类,文科,外国语言文学类,4,473,474.50,477,
2022,陕西,普通类,文科,图书情报与档案管理类,2,472,483.50,495,
2022,陕西,普通类,文科,旅游管理,2,471,473.00,475,
2022,陕西,普通类,文科,金融学类,2,474,474.50,475,
2022,陕西,普通类,文科,广告学,2,476,477.50,479,
2022,陕西,普通类,文科,工商管理类,2,478,479.50,481,
2022,陕西,普通类,文科,法语,2,472,472.00,472,
2022,陕西,普通类,文科,法学,2,475,475.50,476,
2022,陕西,普通类,理科,自动化,2,443,443.00,443,
2022,陕西,普通类,理科,行政管理,2,438,438.00,438,
2022,陕西,普通类,理科,信息管理与信息系统,2,443,445.00,447,
2022,陕西,普通类,理科,物流管理与工程类,4,439,439.75,442,
2022,陕西,普通类,理科,外国语言文学类,3,438,439.33,440,
2022,陕西,普通类,理科,土木类,5,438,439.60,442,
2022,陕西,普通类,理科,数学与应用数学,2,439,439.00,439,
2022,陕西,普通类,理科,人工智能,2,444,444.50,445,
2022,陕西,普通类,理科,经济与贸易类,2,439,439.00,439,
2022,陕西,普通类,理科,经济学类,2,440,441.00,442,
2022,陕西,普通类,理科,金融学类,7,438,440.71,442,
2022,陕西,普通类,理科,交通运输,2,439,439.50,440,
2022,陕西,普通类,理科,计算机类,7,445,446.00,448,
2022,陕西,普通类,理科,机械类,7,443,444.86,450,
2022,陕西,普通类,理科,环境工程,2,438,439.00,440,
