年份,省市,类型,科类,专业,录取人数,最低分,平均分,最高分,备注
2021,四川,普通类,文科,中国语言文学类,2,524,525.50,527,
2021,四川,普通类,文科,行政管理,2,515,517.00,519,
2021,四川,普通类,文科,外国语言文学类,2,522,526.00,530,
2021,四川,普通类,文科,图书情报与档案管理类,2,486,507.00,528,
2021,四川,普通类,文科,经济与贸易类,3,520,521.33,524,
2021,四川,普通类,文科,金融学类,2,521,522.50,524,
2021,四川,普通类,文科,广告学,2,522,530.00,538,
2021,四川,普通类,文科,工商管理类,2,525,528.50,532,
2021,四川,普通类,理科,自动化,2,497,498.50,500,
2021,四川,普通类,理科,行政管理,2,489,491.00,493,
2021,四川,普通类,理科,信息管理与信息系统,2,494,494.50,495,
2021,四川,普通类,理科,物流管理与工程类,5,487,488.60,490,
2021,四川,普通类,理科,外国语言文学类,2,488,491.00,494,
2021,四川,普通类,理科,土木类,4,490,491.25,494,
2021,四川,普通类,理科,图书情报与档案管理类,2,488,488.00,488,
2021,四川,普通类,理科,数学与应用数学,3,491,496.33,502,
2021,四川,普通类,理科,经济与贸易类,3,489,494.00,503,
2021,四川,普通类,理科,经济学类,3,491,494.00,500,
2021,四川,普通类,理科,金融学类,6,492,497.50,511,
2021,四川,普通类,理科,交通运输 (空管与签派),2,497,499.00,501,
2021,四川,普通类,理科,交通运输,2,494,494.00,494,
2021,四川,普通类,理科,计算机类,9,498,502.44,507,
2021,四川,普通类,理科,机械类,7,495,496.86,501,
2021,四川,普通类,理科,环境工程,3,487,488.33,489,
2021,四川,普通类,理科,航空航天类,7,502,508.14,522,
2021,四川,普通类,理科,工业工程类,3,495,499.00,506,
2021,四川,普通类,理科,工商管理类,8,502,510.13,520,
2021,四川,普通类,理科,工程管理,5,473,480.20,488,
2021,四川,普通类,理科,法学,2,498,499.00,500,
2021,四川,普通类,理科,电子信息类,4,497,499.50,502,
2021,四川,普通类,理科,电气工程及其自动化,2,505,507.00,509,
2021,四川,普通类,理科,城乡规划,2,488,491.00,494,
2021,四川,普通类,理科,材料类,6,475,486.67,494,
2021,四川,普通类,理科,安全工程,2,493,496.00,499,
2022,四川,普通类,理科,自动化,3,493,494.67,497,
2022,四川,普通类,理科,信息管理与信息系统,2,486,486.50,487,
2022,四川,普通类,理科,物流管理与工程类,4,483,484.75,488,
2022,四川,普通类,理科,外国语言文学类,2,485,488.00,491,
2022,四川,普通类,理科,土木类,5,480,487.20,506,
2022,四川,普通类,理科,图书情报与档案管理类,2,483,486.00,489,
2022,四川,普通类,理科,人工智能,2,492,492.50,493,
2022,四川,普通类,理科,旅游管理,2,463,463.00,463,
2022,四川,普通类,理科,经济与贸易类,2,482,485.00,488,
2022,四川,普通类,理科,经济学类,2,480,485.50,491,
2022,四川,普通类,理科,金融学类,6,482,487.67,494,
2022,四川,普通类,理科,交通运输 (空管与签派),2,490,492.50,495,
2022,四川,普通类,理科,计算机类,5,495,496.60,500,
2022,四川,普通类,理科,机械类,5,487,490.60,500,
2022,四川,普通类,理科,广告学,2,483,485.00,487,
2022,四川,普通类,理科,工业工程类,2,492,497.00,502,
2022,四川,普通类,理科,工商管理类,8,497,504.13,514,
2022,四川,普通类,理科,工程管理,2,482,485.50,489,
2022,四川,普通类,理科,飞行器适航技术,2,494,495.50,497,
