年份,省市,类型,科类,专业,录取人数,最低分,平均分,最高分,备注
2021,安徽,普通类,理科,自动化,3,480,481.33,483,
2021,安徽,普通类,理科,行政管理,3,474,475.33,477,
2021,安徽,普通类,理科,信息管理与信息系统,2,481,481.00,481,
2021,安徽,普通类,理科,物流管理与工程类,6,473,476.17,481,
2021,安徽,普通类,理科,外国语言文学类,2,485,488.00,491,
2021,安徽,普通类,理科,土木类,8,475,477.75,480,
2021,安徽,普通类,理科,图书情报与档案管理类,2,474,475.50,477,
2021,安徽,普通类,理科,数学与应用数学,3,480,483.00,486,
2021,安徽,普通类,理科,经济与贸易类,3,479,480.67,484,
2021,安徽,普通类,理科,经济学类,2,481,482.50,484,
2021,安徽,普通类,理科,金融学类,6,478,482.33,489,
2021,安徽,普通类,理科,交通运输(空管与签派),2,475,475.00,475,
2021,安徽,普通类,理科,交通运输,2,477,479.00,481,
2021,安徽,普通类,理科,计算机类,10,482,487.40,498,
2021,安徽,普通类,理科,机械类,9,479,481.44,486,
2021,安徽,普通类,理科,环境工程,2,479,479.00,479,
2021,安徽,普通类,理科,航空航天类,9,481,483.56,489,
2021,安徽,普通类,理科,广告学,2,475,476.50,478,
2021,安徽,普通类,理科,工业工程类,3,476,481.67,488,
2021,安徽,普通类,理科,工商管理类,6,482,483.67,485,
2021,安徽,普通类,理科,工程管理,5,474,476.40,482,
2021,安徽,普通类,理科,法学,2,479,479.50,480,
2021,安徽,普通类,理科,电子信息类,6,480,480.67,483,
2021,安徽,普通类,理科,电气工程及其自动化,2,487,489.50,492,
2021,安徽,普通类,理科,城乡规划,3,474,474.33,475,
2021,安徽,普通类,理科,材料类,9,474,477.78,484,
2021,安徽,普通类,理科,安全工程,4,476,480.25,487,
