年份,省市,类型,科类,专业,录取人数,最低分,平均分,最高分,备注
2021,天津,普通类,综合改革,物流管理与工程类,3,509,510.00,512,
2021,天津,普通类,综合改革,经济与贸易类,2,519,519.50,520,
2021,天津,普通类,综合改革,金融学类,2,521,523.00,525,
2021,天津,普通类,综合改革,计算机类,3,508,509.67,511,
2021,天津,普通类,综合改革,航空航天类,4,508,512.50,516,
2021,天津,普通类,综合改革,工业工程类,3,510,510.67,511,
2021,天津,普通类,综合改革,工商管理类,4,530,532.25,536,
2021,天津,普通类,综合改革,电子信息类,3,505,506.33,508,
2021,天津,普通类,综合改革,材料类,2,505,505.50,506,
2022,天津,普通类,综合改革,物流管理与工程类,4,512,515.50,520,
2022,天津,普通类,综合改革,人工智能,2,519,519.00,519,
2022,天津,普通类,综合改革,经济与贸易类,2,522,523.00,524,
2022,天津,普通类,综合改革,金融学类,2,522,523.00,524,
2022,天津,普通类,综合改革,工业工程类,3,512,512.67,514,
2022,天津,普通类,综合改革,工商管理类,4,523,528.75,540,
2022,天津,普通类,综合改革,飞行器设计与工程,2,520,530.50,541,
2022,天津,普通类,综合改革,飞行器动力工程,2,517,517.00,517,
2022,天津,普通类,综合改革,电子信息类,3,514,515.00,516,
2022,天津,普通类,综合改革,材料类,3,512,513.67,515,
2023,天津,普通类,综合改革,物流管理与工程类,3,519,522.00,524,
2023,天津,普通类,综合改革,人工智能,2,527,534.50,542,
2023,天津,普通类,综合改革,经济与贸易类,2,528,529.00,530,
2023,天津,普通类,综合改革,金融学类,2,527,527.50,528,
2023,天津,普通类,综合改革,工业工程类,3,514,516.33,518,
2023,天津,普通类,综合改革,工商管理类,5,530,530.60,531,
2023,天津,普通类,综合改革,飞行器设计与工程,3,531,535.67,543,
2023,天津,普通类,综合改革,飞行器动力工程,2,529,530.00,531,
2023,天津,普通类,综合改革,电子信息类,2,528,528.50,529,
2023,天津,普通类,综合改革,材料类,3,524,526.33,530,
2024,天津,普通类,综合改革,物流管理与工程类,2,525,528.50,532,
2024,天津,普通类,综合改革,人工智能,2,531,531.50,532,
2024,天津,普通类,综合改革,经济与贸易类,2,530,530.00,530,
2024,天津,普通类,综合改革,金融学类,2,529,531.00,533,
2024,天津,普通类,综合改革,工业工程类,4,525,529.50,539,
2024,天津,普通类,综合改革,工商管理类,3,545,560.00,575,
2024,天津,普通类,综合改革,飞行器设计与工程,3,537,546.00,562,
2024,天津,普通类,综合改革,飞行器动力工程,2,534,535.00,536,
2024,天津,普通类,综合改革,电子信息类,3,532,537.33,546,
2024,天津,普通类,综合改革,材料类,3,522,525.33,528,
2025,天津,普通类,综合改革,物流管理,2,514,514.00,514,
2025,天津,普通类,综合改革,人工智能,2,543,547.50,552,
2025,天津,普通类,综合改革,金融学,2,517,520.00,523,
2025,天津,普通类,综合改革,交通运输,2,542,547.00,552,
2025,天津,普通类,综合改革,会计学,2,532,532.00,532,
2025,天津,普通类,综合改革,工业工程,3,526,530.00,534,
2025,天津,普通类,综合改革,工商管理,3,514,517.67,524,
2025,天津,普通类,综合改革,飞行器设计与工程,2,563,564.50,566,
2025,天津,普通类,综合改革,飞行器动力工程,2,564,572.00,580,
2025,天津,普通类,综合改革,电子信息类,3,543,544.33,546,
2025,天津,普通类,综合改革,材料类,3,538,539.67,541,
