年份,省市,类型,科类,专业,录取人数,最低分,平均分,最高分,备注
2022,新疆,普通类,理科,物流管理与工程类,2,374,376.00,378,
2022,新疆,普通类,理科,无人驾驶航空器系统工程,2,372,383.50,395,
2022,新疆,普通类,理科,金融学类,2,378,380.00,382,
2022,新疆,普通类,理科,计算机类,2,389,396.50,404,
2022,新疆,普通类,理科,工商管理类,2,375,377.50,380,
2022,新疆,普通类,理科,法学,2,373,377.00,381,
2022,新疆,普通类,文科,中国语言文学类,2,419,424.00,429,
2022,新疆,普通类,文科,工商管理类,2,418,421.00,424,
2023,新疆,普通类,文科,中国语言文学类,2,445,446.00,447,
2023,新疆,普通类,文科,工商管理类,2,450,452.50,455,
2023,新疆,普通类,理科,物流管理与工程类,2,380,380.00,380,
2023,新疆,普通类,理科,无人驾驶航空器系统工程,2,380,381.00,382,
2023,新疆,普通类,理科,金融学类,2,382,382.00,382,
2023,新疆,普通类,理科,计算机类,2,386,390.00,394,
2023,新疆,普通类,理科,工商管理类,2,386,387.00,388,
2023,新疆,普通类,理科,法学,2,382,383.50,385,
2024,新疆,普通类,理科,物流管理与工程类,2,368,374.50,381,
2024,新疆,普通类,理科,无人驾驶航空器系统工程,2,369,372.00,375,
2024,新疆,普通类,理科,经济与贸易类,2,363,363.50,364,
2024,新疆,普通类,理科,金融学类,2,367,373.50,380,
2024,新疆,普通类,理科,计算机类,2,379,379.50,380,
2024,新疆,普通类,理科,工商管理类,2,381,387.50,394,
2024,新疆,普通类,理科,法学,3,331,332.33,334,
2024,新疆,普通类,文科,中国语言文学类,2,419,420.00,421,
2024,新疆,普通类,文科,行政管理,2,307,311.50,316,
2024,新疆,普通类,文科,工商管理类,2,413,419.00,425,
2025,新疆,普通类,文 / 历史,中国语言文学类,2,433,437.50,442,
2025,新疆,普通类,文 / 历史,行政管理,2,396,413.50,431,
2025,新疆,普通类,文 / 历史,外国语言文学类,2,388,388.50,389,
2025,新疆,普通类,文 / 历史,法学,2,444,445.50,447,
2025,新疆,普通类,理 / 物理,人力资源管理,2,403,406.00,409,
2025,新疆,普通类,理 / 物理,交通运输,2,411,416.50,422,
2025,新疆,普通类,理 / 物理,计算机类,2,410,410.50,411,
2025,新疆,普通类,理 / 物理,会计学,2,435,435.50,436,
2025,新疆,普通类,理 / 物理,法学,2,404,409.00,414,
2025,新疆,哈密定向,理 / 物理,无人驾驶航空器系统工程,4,376,394.00,412,
2025,新疆,哈密定向,理 / 物理,金融学,2,370,371.50,373,
