年份,省市,类型,科类,专业,录取人数,最低分,平均分,最高分,备注
2021,云南,普通类,文科,中国语言文学类,2,545,550.50,556,
2021,云南,普通类,文科,行政管理,2,542,543.50,545,
2021,云南,普通类,文科,外国语言文学类,3,545,549.00,556,
2021,云南,普通类,文科,图书情报与档案管理类,2,539,543.50,548,
2021,云南,普通类,文科,经济学类,2,550,554.50,559,
2021,云南,普通类,文科,工商管理类,2,552,558.00,564,
2021,云南,普通类,文科,法学,2,543,546.00,549,
2021,云南,普通类,理科,自动化,2,485,488.50,492,
2021,云南,普通类,理科,信息管理与信息系统,2,481,482.00,483,
2021,云南,普通类,理科,物流管理与工程类,5,482,488.20,496,
2021,云南,普通类,理科,外国语言文学类,2,488,496.50,505,
2021,云南,普通类,理科,土木类,4,471,481.50,499,
2021,云南,普通类,理科,数学与应用数学,2,493,494.50,496,
2021,云南,普通类,理科,旅游管理,2,472,474.50,477,
2021,云南,普通类,理科,经济与贸易类,2,483,485.00,487,
2021,云南,普通类,理科,经济学类,2,478,479.00,480,
2021,云南,普通类,理科,金融学类,6,479,488.50,516,
2021,云南,普通类,理科,交通运输 (空管与签派),2,490,498.00,506,
2021,云南,普通类,理科,交通运输,2,478,483.00,488,
2021,云南,普通类,理科,计算机类,8,488,495.50,505,
2021,云南,普通类,理科,机械类,6,473,479.33,482,
2021,云南,普通类,理科,航空航天类,6,484,493.17,509,
2021,云南,普通类,理科,工业工程类,3,479,487.33,502,
2021,云南,普通类,理科,工商管理类,8,486,495.25,514,
2021,云南,普通类,理科,工程管理,2,472,475.50,479,
2021,云南,普通类,理科,法学,2,503,504.50,506,
2021,云南,普通类,理科,电子信息类,4,486,488.25,493,
2021,云南,普通类,理科,电气工程及其自动化,3,489,495.00,504,
2021,云南,普通类,理科,城乡规划,2,479,482.00,485,
2021,云南,普通类,理科,材料类,6,473,478.83,495,
2021,云南,普通类,理科,安全工程,2,473,476.00,479,
2022,云南,普通类,理科,信息管理与信息系统,2,480,484.00,488,
2022,云南,普通类,理科,物流管理与工程类,4,473,475.75,481,
2022,云南,普通类,理科,无人驾驶航空器系统工程,2,482,485.50,489,
2022,云南,普通类,理科,外国语言文学类,3,474,474.67,475,
2022,云南,普通类,理科,土木类,5,471,475.20,479,
2022,云南,普通类,理科,数学与应用数学,2,498,501.00,504,
2022,云南,普通类,理科,旅游管理,2,471,471.50,472,
2022,云南,普通类,理科,经济与贸易类,2,478,479.00,480,
2022,云南,普通类,理科,经济学类,3,474,476.33,479,
2022,云南,普通类,理科,金融学类,6,473,475.33,479,
2022,云南,普通类,理科,交通运输 (空管与签派),2,491,493.00,495,
2022,云南,普通类,理科,交通运输,4,461,473.50,480,
2022,云南,普通类,理科,计算机类,6,484,487.67,490,
2022,云南,普通类,理科,机械类,4,480,482.50,486,
2022,云南,普通类,理科,广告学,3,478,483.33,493,
2022,云南,普通类,理科,工业工程类,2,475,475.00,475,
2022,云南,普通类,理科,工商管理类,8,480,496.13,524,
2022,云南,普通类,理科,工程管理,2,475,475.50,476,
2022,云南,普通类,理科,飞行器质量与可靠性,2,481,486.00,491,
2022,云南,普通类,理科,法学,2,504,508.00,512,
2022,云南,普通类,理科,电子信息类,3,484,486.33,488,
2022,云南,普通类,理科,电气工程及其自动化,3,492,495.67,501,
2022,云南,普通类,理科,城乡规划,2,471,472.00,473,
2022,云南,普通类,理科,材料类,4,475,478.00,480,
2022,云南,普通类,文科,中国语言文学类,3,554,555.67,558,
2022,云南,普通类,文科,行政管理,2,550,553.00,556,
2022,云南,普通类,文科,外国语言文学类,3,551,554.00,558,
2022,云南,普通类,文科,图书情报与档案管理类,2,551,558.00,565,
2022,云南,普通类,文科,工商管理类,2,562,563.00,564,
2022,云南,普通类,文科,法学,2,557,560.00,563,
2023,云南,普通类,文科,中国语言文学类,3,519,520.00,521,
2023,云南,普通类,文科,行政管理,2,515,515.50,516,
2023,云南,普通类,文科,外国语言文学类,3,516,516.00,516,
2023,云南,普通类,文科,图书情报与档案管理类,2,515,516.50,518,
2023,云南,普通类,文科,工商管理类,2,519,520.50,522,
2023,云南,普通类,文科,法学,2,522,523.50,525,
2023,云南,普通类,理科,信息管理与信息系统,2,467,468.00,469,
2023,云南,普通类,理科,物流管理与工程类,4,461,463.00,466,
2023,云南,普通类,理科,无人驾驶航空器系统工程,2,469,470.00,471,
2023,云南,普通类,理科,外国语言文学类,2,463,464.00,465,
