年份,省市,类型,科类,专业,录取人数,最低分,平均分,最高分,备注
2021,浙江,普通类,综合改革,经济学类,2,559,560.00,561,
2021,浙江,普通类,综合改革,航空航天类,4,533,538.00,544,
2021,浙江,普通类,综合改革,工业工程类,3,546,548.00,550,
2021,浙江,普通类,综合改革,工商管理类,4,554,557.00,561,
2021,浙江,普通类,综合改革,工程管理,2,527,528.50,530,
2021,浙江,普通类,综合改革,电气工程及其自动化,2,536,538.00,540,
2021,浙江,普通类,综合改革,材料类,3,525,527.67,531,
2022,浙江,普通类,综合改革,人工智能,2,541,544.50,548,
2022,浙江,普通类,综合改革,经济学类,2,563,564.00,565,
2022,浙江,普通类,综合改革,计算机类,2,548,549.00,550,
2022,浙江,普通类,综合改革,工业工程类,3,550,551.67,553,
2022,浙江,普通类,综合改革,工商管理类,4,560,560.75,562,
2022,浙江,普通类,综合改革,飞行器动力工程,2,538,538.50,539,
2022,浙江,普通类,综合改革,电气工程及其自动化,2,542,542.00,542,
2022,浙江,普通类,综合改革,材料类,3,536,536.67,538,
2023,浙江,普通类,综合改革,人工智能,2,543,543.50,544,
2023,浙江,普通类,综合改革,经济学类,2,562,563.00,564,
2023,浙江,普通类,综合改革,计算机类,2,548,549.50,551,
2023,浙江,普通类,综合改革,工业工程类,3,543,545.67,548,
2023,浙江,普通类,综合改革,工商管理类,4,562,563.00,564,
2023,浙江,普通类,综合改革,飞行器动力工程,2,541,542.00,543,
2023,浙江,普通类,综合改革,电气工程及其自动化,2,547,549.50,552,
2023,浙江,普通类,综合改革,材料类,3,536,539.00,544,
2024,浙江,普通类,综合改革,人工智能,2,528,530.00,532,
2024,浙江,普通类,综合改革,经济学类,2,555,561.00,567,
2024,浙江,普通类,综合改革,计算机类,2,540,540.50,541,
2024,浙江,普通类,综合改革,工业工程类,3,539,542.00,546,
2024,浙江,普通类,综合改革,工商管理类,4,500,526.50,544,
2024,浙江,普通类,综合改革,飞行器动力工程,2,531,532.00,533,
2024,浙江,普通类,综合改革,电气工程及其自动化,2,538,541.50,545,
2024,浙江,普通类,综合改革,材料类,3,525,525.67,526,
2025,浙江,普通类,综合改革,审计学,2,544,551.00,558,
2025,浙江,普通类,综合改革,人工智能,2,542,542.00,542,
2025,浙江,普通类,综合改革,经济学,2,537,539.50,542,
2025,浙江,普通类,综合改革,经济统计学,2,549,549.50,550,
2025,浙江,普通类,综合改革,计算机类,2,539,540.00,541,
2025,浙江,普通类,综合改革,工业工程,2,545,546.00,547,
2025,浙江,普通类,综合改革,工商管理,2,524,527.00,530,
2025,浙江,普通类,综合改革,电气工程及其自动化,2,549,554.00,559,
2025,浙江,普通类,综合改革,财务管理,2,526,533.50,541,
2025,浙江,普通类,综合改革,材料类,2,527,531.00,535,
